ngram	w1	w2	n
pada_masa-masa	pada	masa-masa	16
basis_masa	basis	masa	15
lewat_masa	lewat	masa	15
masa_de-pan	masa	de-pan	15
masa_kanak-kanak	masa	kanak-kanak	15
masa_muda	masa	muda	15
masa_orde	masa	orde	15
melihat_masa	melihat	masa	15
menikmati_masa	menikmati	masa	15
punya_masa	punya	masa	15
sebagai_masa	sebagai	masa	15
ini_masa	ini	masa	14
masa_remaja	masa	remaja	14
masuk_masa	masuk	masa	14
menatap_masa	menatap	masa	14
mengatakan_masa	mengatakan	masa	14
menyelesaikan_masa	menyelesaikan	masa	14
akan_masa	akan	masa	13
masa_aktif	masa	aktif	13
masa_tanggap	masa	tanggap	13
masa_tua	masa	tua	13
membangun_masa	membangun	masa	13
pengurangan_masa	pengurangan	masa	13
kehidupan_masa	kehidupan	masa	12
masa_akhir	masa	akhir	12
masa_cuti	masa	cuti	12
masa_persidangan	masa	persidangan	12
memanfaatkan_masa	memanfaatkan	masa	12
memikirkan_masa	memikirkan	masa	12
menghadapi_masa	menghadapi	masa	12
menuju_masa	menuju	masa	12
sejarah_masa	sejarah	masa	12
atau_masa	atau	masa	11
masa_keemasan	masa	keemasan	11
masa_krisis	masa	krisis	11
masa_reformasi	masa	reformasi	11
masa-masa_mendatang	masa-masa	mendatang	11
ada_masa-lah	ada	masa-lah	10
hari_masa	hari	masa	10
lini_masa	lini	masa	10
maka_masa	maka	masa	10
masa_baktinya	masa	baktinya	10
masa_kolonial	masa	kolonial	10
masa_kontraknya	masa	kontraknya	10
masa_kritis	masa	kritis	10
masa_puasa	masa	puasa	10
masa_waktu	masa	waktu	10
masa-masa_awal	masa-masa	awal	10
mengingat_masa	mengingat	masa	10
mobil_masa	mobil	masa	10
remaja_masa	remaja	masa	10
suatu_masa	suatu	masa	10
energi_masa	energi	masa	9
itu_masa	itu	masa	9
lagi_masa	lagi	masa	9
masa_akan	masa	akan	9
masa_aksi	masa	aksi	9
masa_dewasa	masa	dewasa	9
masa_izin	masa	izin	9
masa_kepengurusan	masa	kepengurusan	9
masa_pemeliharaan	masa	pemeliharaan	9
masa_perang	masa	perang	9
masa_saya	masa	saya	9
masa_sekolah	masa	sekolah	9
masa_studi	masa	studi	9
masa_tumbuh	masa	tumbuh	9
mengancam_masa	mengancam	masa	9
menghancurkan_masa	menghancurkan	masa	9
mengisi_masa	mengisi	masa	9
menjelang_masa	menjelang	masa	9
merusak_masa	merusak	masa	9
seperti_masa	seperti	masa	9
soal_masa	soal	masa	9
wajah_masa	wajah	masa	9
besar_masa	besar	masa	8
lama_masa	lama	masa	8
masa_dengan	masa	dengan	8
masa_istirahat	masa	istirahat	8
masa_kekuasaan	masa	kekuasaan	8
masa_pacaran	masa	pacaran	8
masa_pakai	masa	pakai	8
masa_pendudukan	masa	pendudukan	8
masa_pertumbuhan	masa	pertumbuhan	8
masa_remajanya	masa	remajanya	8
masa-lah_yang	masa-lah	yang	8
masih_masa	masih	masa	8
me-masuki_masa	me-masuki	masa	8
melalui_masa	melalui	masa	8
melepas_masa	melepas	masa	8
memberikan_masa	memberikan	masa	8
penentu_masa	penentu	masa	8
pertama_masa	pertama	masa	8
agar_masa	agar	masa	7
atas_masa	atas	masa	7
dengan_masa-lah	dengan	masa-lah	7
dikurangi_masa	dikurangi	masa	7
jika_masa	jika	masa	7
juga_masa	juga	masa	7
karena_masa-lah	karena	masa-lah	7
kenangan_masa	kenangan	masa	7
kesalahan_masa	kesalahan	masa	7
masa_belajar	masa	belajar	7
masa_dan	masa	dan	7
masa_hidup	masa	hidup	7
masa_jaya	masa	jaya	7
masa_kan	masa	kan	7
masa_kita	masa	kita	7
masa_lima	masa	lima	7
masa_pembangunan	masa	pembangunan	7
masa_pemilihan	masa	pemilihan	7
masa_pendidikan	masa	pendidikan	7
masa_peralihan	masa	peralihan	7
masa_perawatan	masa	perawatan	7
masa_periode	masa	periode	7
masa_sewa	masa	sewa	7
masa_sosialisasi	masa	sosialisasi	7
masa_tahun	masa	tahun	7
melewati_masa-masa	melewati	masa-masa	7
mema-suki_masa	mema-suki	masa	7
mendekati_masa	mendekati	masa	7
mengenang_masa	mengenang	masa	7
menyiapkan_masa	menyiapkan	masa	7
muda_masa	muda	masa	7
pengalaman_masa	pengalaman	masa	7
periode_masa	periode	masa	7
satu_masa	satu	masa	7
selesai_masa	selesai	masa	7
dia_masa	dia	masa	6
dipotong_masa	dipotong	masa	6
dosa_masa	dosa	masa	6
habisnya_masa	habisnya	masa	6
harapan_masa	harapan	masa	6
jaminan_masa	jaminan	masa	6
kepentingan_masa	kepentingan	masa	6
masa_dia	masa	dia	6
masa_hidupnya	masa	hidupnya	6
masa_ja-batan	masa	ja-batan	6
masa_jayanya	masa	jayanya	6
masa_karantina	masa	karantina	6
masa_kemerdekaan	masa	kemerdekaan	6
masa_lajang	masa	lajang	6
masa_pelayanan	masa	pelayanan	6
masa_pendukung	masa	pendukung	6
masa_promo	masa	promo	6
masa_promosi	masa	promosi	6
masa_tambahan	masa	tambahan	6
masa_tuanya	masa	tuanya	6
mengubah_masa	mengubah	masa	6
mengumumkan_masa	mengumumkan	masa	6
menyongsong_masa	menyongsong	masa	6
meski_masa	meski	masa	6
pe-mimpin_masa	pe-mimpin	masa	6
pembukaan_masa	pembukaan	masa	6
peninggalan_masa	peninggalan	masa	6
penutupan_masa	penutupan	masa	6
rencana_masa	rencana	masa	6
romantisme_masa	romantisme	masa	6
rumah_masa	rumah	masa	6
terakhir_masa	terakhir	masa	6
usai_masa	usai	masa	6
waktu_masa	waktu	masa	6
adalah_masa-masa	adalah	masa-masa	5
arah_masa	arah	masa	5
bagaimana_masa	bagaimana	masa	5
dalam_masa-masa	dalam	masa-masa	5
dibandingkan_masa	dibandingkan	masa	5
kali_masa	kali	masa	5
kebutuhan_masa	kebutuhan	masa	5
lalu_masa	lalu	masa	5
masa_anak-anak	masa	anak-anak	5
masa_arus	masa	arus	5
masa_dalam	masa	dalam	5
masa_emas	masa	emas	5
masa_hari	masa	hari	5
masa_injuri	masa	injuri	5
masa_jeda	masa	jeda	5
masa_kata	masa	kata	5
masa_kedaluwarsa	masa	kedaluwarsa	5
masa_kredit	masa	kredit	5
masa_kuliah	masa	kuliah	5
masa_mau	masa	mau	5
masa_mudanya	masa	mudanya	5
masa_pakainya	masa	pakainya	5
masa_peminjaman	masa	peminjaman	5
masa_pen-siun	masa	pen-siun	5
masa_pengabdiannya	masa	pengabdiannya	5
masa_perjuangan	masa	perjuangan	5
masa_purna	masa	purna	5
masa_sebelum	masa	sebelum	5
masa_tersebut	masa	tersebut	5
masa_tiga	masa	tiga	5
masa_tinggal	masa	tinggal	5
masa_untuk	masa	untuk	5
masa-masa_paling	masa-masa	paling	5
melakukan_masa	melakukan	masa	5
mempersiapkan_masa	mempersiapkan	masa	5
mempunyai_masa	mempunyai	masa	5
memulai_masa	memulai	masa	5
mencapai_masa	mencapai	masa	5
menjadi_masa-lah	menjadi	masa-lah	5
menunggu_masa	menunggu	masa	5
menyelesaikan_masa-lah	menyelesaikan	masa-lah	5
perempuan_masa	perempuan	masa	5
serta_masa	serta	masa	5
tanpa_masa	tanpa	masa	5
tantangan_masa	tantangan	masa	5
tapi_masa	tapi	masa	5
teman_masa	teman	masa	5
trauma_masa	trauma	masa	5
anak_masa	anak	masa	4
antara_masa	antara	masa	4
baik_masa	baik	masa	4
bangsa_masa	bangsa	masa	4
bersikap_masa	bersikap	masa	4
dua_masa	dua	masa	4
hanya_masa	hanya	masa	4
kehilangan_masa	kehilangan	masa	4
kelangsungan_masa	kelangsungan	masa	4
kembali_masa	kembali	masa	4
klub_masa	klub	masa	4
kota_masa	kota	masa	4
lamanya_masa	lamanya	masa	4
mana_masa	mana	masa	4
masa_bhakti	masa	bhakti	4
masa_damai	masa	damai	4
masa_dari	masa	dari	4
masa_dinas	masa	dinas	4
masa_dulu	masa	dulu	4
masa_garansi	masa	garansi	4
masa_inkubasi	masa	inkubasi	4
masa_kampanyenya	masa	kampanyenya	4
masa_keemasannya	masa	keemasannya	4
masa_kekinian	masa	kekinian	4
masa_kerajaan	masa	kerajaan	4
masa_khidmat	masa	khidmat	4
masa_menda-tang	masa	menda-tang	4
masa_menopause	masa	menopause	4
masa_paling	masa	paling	4
masa_pancaroba	masa	pancaroba	4
masa_penantian	masa	penantian	4
masa_pendidikannya	masa	pendidikannya	4
masa_pengenalan	masa	pengenalan	4
masa_pengobatan	masa	pengobatan	4
masa_pensiunnya	masa	pensiunnya	4
masa_penugasan	masa	penugasan	4
masa_penyembuhan	masa	penyembuhan	4
masa_perbaikan	masa	perbaikan	4
masa_pergantian	masa	pergantian	4
masa_perubahan	masa	perubahan	4
masa_pra	masa	pra	4
masa_revolusi	masa	revolusi	4
masa_seperti	masa	seperti	4
masa_tahanannya	masa	tahanannya	4
masa_tenggang	masa	tenggang	4
masa_tidak	masa	tidak	4
masa-lah_dengan	masa-lah	dengan	4
masa-lah_di	masa-lah	di	4
masa-lah_tersebut	masa-lah	tersebut	4
masyarakat_masa	masyarakat	masa	4
maupun_masa	maupun	masa	4
melanjutkan_masa	melanjutkan	masa	4
melupakan_masa	melupakan	masa	4
memang_masa	memang	masa	4
membawa_masa	membawa	masa	4
membuat_masa	membuat	masa	4
mempertimbangkan_masa	mempertimbangkan	masa	4
memprediksi_masa	memprediksi	masa	4
memutuskan_masa	memutuskan	masa	4
menetapkan_masa	menetapkan	masa	4
mengatasi_masa-lah	mengatasi	masa-lah	4
mengetahui_masa	mengetahui	masa	4
menginjak_masa	menginjak	masa	4
menilai_masa	menilai	masa	4
menjamin_masa	menjamin	masa	4
menyangkut_masa	menyangkut	masa	4
menyatakan_masa	menyatakan	masa	4
meraih_masa	meraih	masa	4
merancang_masa	merancang	masa	4
ribu_masa	ribu	masa	4
sebab_masa	sebab	masa	4
sehingga_masa	sehingga	masa	4
sesuai_masa	sesuai	masa	4
tahu_masa	tahu	masa	4
untuk_masa-lah	untuk	masa-lah	4
â_masa	â	masa	3
adanya_masa	adanya	masa	3
akhir-akhir_masa	akhir-akhir	masa	3
aksi_masa	aksi	masa	3
aneh_masa	aneh	masa	3
apalagi_masa	apalagi	masa	3
bagian_masa	bagian	masa	3
boleh_masa	boleh	masa	3
bukan_masa-lah	bukan	masa-lah	3
cita-cita_masa	cita-cita	masa	3
cuti_masa	cuti	masa	3
da-lam_masa	da-lam	masa	3
dari_masa-masa	dari	masa-masa	3
demikian_masa	demikian	masa	3
dengan_masa-masa	dengan	masa-masa	3
diketahui_masa	diketahui	masa	3
dimulainya_masa	dimulainya	masa	3
dinamika_masa	dinamika	masa	3
fesyen_masa	fesyen	masa	3
ialah_masa	ialah	masa	3
idola_masa	idola	masa	3
impian_masa	impian	masa	3
industri_masa	industri	masa	3
investasi_masa	investasi	masa	3
kalau_masa	kalau	masa	3
karier_masa	karier	masa	3
kedua_masa	kedua	masa	3
kejayaan_masa	kejayaan	masa	3
kelanjutan_masa	kelanjutan	masa	3
kerumunan_masa	kerumunan	masa	3
ketidakpastian_masa	ketidakpastian	masa	3
kondisi_masa	kondisi	masa	3
lain_masa	lain	masa	3
masa_belum	masa	belum	3
masa_berakhir	masa	berakhir	3
masa_berakhirnya	masa	berakhirnya	3
masa_berikutnya	masa	berikutnya	3
masa_bulan	masa	bulan	3
masa_cuma	masa	cuma	3
masa_darurat	masa	darurat	3
masa_demokrasi	masa	demokrasi	3
masa_enam	masa	enam	3
masa_hamil	masa	hamil	3
masa_harus	masa	harus	3
masa_jaba-tannya	masa	jaba-tannya	3
masa_jabatanya	masa	jabatanya	3
masa_kalender	masa	kalender	3
masa_kanak	masa	kanak	3
masa_ke-pemimpinan	masa	ke-pemimpinan	3
masa_kehidupan	masa	kehidupan	3
masa_kejayaannya	masa	kejayaannya	3
masa_keterbukaan	masa	keterbukaan	3
masa_ketika	masa	ketika	3
masa_lebaran	masa	lebaran	3
masa_liburnya	masa	liburnya	3
masa_men-datang	masa	men-datang	3
masa_menstruasi	masa	menstruasi	3
masa_mo	masa	mo	3
masa_modern	masa	modern	3
masa_mudik	masa	mudik	3
masa_nifas	masa	nifas	3
masa_paruh	masa	paruh	3
masa_pembentukan	masa	pembentukan	3
masa_pemerin-tahannya	masa	pemerin-tahannya	3
masa_pemerintah	masa	pemerintah	3
masa_pemilu	masa	pemilu	3
masa_penawaran	masa	penawaran	3
masa_pendaf-taran	masa	pendaf-taran	3
masa_penempatan	masa	penempatan	3
masa_peradaban	masa	peradaban	3
masa_pilkada	masa	pilkada	3
masa_pra-industri	masa	pra-industri	3
masa_produksi	masa	produksi	3
masa_pubertas	masa	pubertas	3
masa_puncak	masa	puncak	3
masa_rawan	masa	rawan	3
masa_rehat	masa	rehat	3
masa_resesi	masa	resesi	3
masa_riil	masa	riil	3
masa_saja	masa	saja	3
masa_satu	masa	satu	3
masa_sebelumnya	masa	sebelumnya	3
masa_senja	masa	senja	3
masa_sewanya	masa	sewanya	3
masa_sih	masa	sih	3
masa_simpan	masa	simpan	3
masa_studinya	masa	studinya	3
masa_surut	masa	surut	3
masa_tanpa	masa	tanpa	3
masa_tayang	masa	tayang	3
masa_tu-gasnya	masa	tu-gasnya	3
masa_ujian	masa	ujian	3
masa_usia	masa	usia	3
masa-masa_lalu	masa-masa	lalu	3
masalah_masa	masalah	masa	3
me-rancang_masa	me-rancang	masa	3
membahas_masa-lah	membahas	masa-lah	3
membayangkan_masa	membayangkan	masa	3
membicarakan_masa	membicarakan	masa	3
membuka_masa	membuka	masa	3
membutuhkan_masa	membutuhkan	masa	3
memperbaiki_masa	memperbaiki	masa	3
menambahkan_masa	menambahkan	masa	3
menawarkan_masa	menawarkan	masa	3
menciptakan_masa	menciptakan	masa	3
menegaskan_masa	menegaskan	masa	3
mengakui_masa	mengakui	masa	3
mengawali_masa	mengawali	masa	3
mengenai_masa-lah	mengenai	masa-lah	3
menggapai_masa	menggapai	masa	3
menghadirkan_masa	menghadirkan	masa	3
mengingat_masa-masa	mengingat	masa-masa	3
mengisahkan_masa	mengisahkan	masa	3
mengungkap_masa	mengungkap	masa	3
mengungkit-ungkit_masa	mengungkit-ungkit	masa	3
menja-lani_masa	menja-lani	masa	3
menjalankan_masa	menjalankan	masa	3
menjelaskan_masa	menjelaskan	masa	3
menyambut_masa	menyambut	masa	3
menyangkut_masa-lah	menyangkut	masa-lah	3
menyelamatkan_masa	menyelamatkan	masa	3
menyikapi_masa-lah	menyikapi	masa-lah	3
meyakini_masa	meyakini	masa	3
namun_masa	namun	masa	3
orang_masa	orang	masa	3
panjang_masa	panjang	masa	3
pelaksanaan_masa	pelaksanaan	masa	3
pembangunan_masa	pembangunan	masa	3
pembatasan_masa	pembatasan	masa	3
persiapan_masa	persiapan	masa	3
pikir_masa	pikir	masa	3
pula_masa	pula	masa	3
ribuan_masa	ribuan	masa	3
saja_masa	saja	masa	3
sedang_masa	sedang	masa	3
semenjak_masa	semenjak	masa	3
setahun_masa	setahun	masa	3
suasana_masa	suasana	masa	3
sudah_masa	sudah	masa	3
tahapan_masa	tahapan	masa	3
teknologi_masa	teknologi	masa	3
tengah-tengah_masa	tengah-tengah	masa	3
tercantum_masa	tercantum	masa	3
teringat_masa	teringat	masa	3
terkait_masa-lah	terkait	masa-lah	3
tiga_masa	tiga	masa	3
yakni_masa	yakni	masa	3
agenda_masa	agenda	masa	2
akhirnya_masa	akhirnya	masa	2
anak-anak_masa	anak-anak	masa	2
ancaman_masa	ancaman	masa	2
andalan_masa	andalan	masa	2
apa_masa	apa	masa	2
arti_masa	arti	masa	2
aset_masa	aset	masa	2
asumsi_masa	asumsi	masa	2
atlet_masa	atlet	masa	2
bahkan_masa	bahkan	masa	2
beberapa_masa	beberapa	masa	2
begitu_masa	begitu	masa	2
bekal_masa	bekal	masa	2
ber-akhirnya_masa	ber-akhirnya	masa	2
berakhir-nya_masa	berakhir-nya	masa	2
berarti_masa	berarti	masa	2
berat_masa	berat	masa	2
berbagai_masa-lah	berbagai	masa-lah	2
berpikir_masa	berpikir	masa	2
bicara_masa	bicara	masa	2
bila_masa	bila	masa	2
bintang_masa	bintang	masa	2
bola_masa	bola	masa	2
budaya_masa	budaya	masa	2
bukan_masa	bukan	masa	2
cerdas_masa	cerdas	masa	2
cerita_masa	cerita	masa	2
dalam_masa-lah	dalam	masa-lah	2
dan_masa-masa	dan	masa-masa	2
dari_masa-lah	dari	masa-lah	2
daripada_masa	daripada	masa	2
diberikan_masa	diberikan	masa	2
disebut_masa	disebut	masa	2
era_masa	era	masa	2
estafet_masa	estafet	masa	2
fair_masa	fair	masa	2
foto_masa	foto	masa	2
gambaran_masa	gambaran	masa	2
gaul_masa	gaul	masa	2
gaya_masa	gaya	masa	2
gejolak_masa	gejolak	masa	2
gereja_masa	gereja	masa	2
hanya_masa-lah	hanya	masa-lah	2
ingin_masa	ingin	masa	2
inilah_masa	inilah	masa	2
inspirasi_masa	inspirasi	masa	2
jadi_masa	jadi	masa	2
jalan_masa	jalan	masa	2
jejak_masa	jejak	masa	2
jika_masa-lah	jika	masa-lah	2
kader_masa	kader	masa	2
kan_masa	kan	masa	2
kapan_masa	kapan	masa	2
kasus_masa	kasus	masa	2
ke_masa-masa	ke	masa-masa	2
keberhasilan_masa	keberhasilan	masa	2
keberlangsungan_masa	keberlangsungan	masa	2
keempat_masa	keempat	masa	2
kejadian_masa	kejadian	masa	2
kekayaan_masa	kekayaan	masa	2
kemudian_masa	kemudian	masa	2
kemungkinan_masa	kemungkinan	masa	2
kepada_masa	kepada	masa	2
kepastian_masa	kepastian	masa	2
kepengurusan_masa	kepengurusan	masa	2
keras_masa	keras	masa	2
ketiga_masa	ketiga	masa	2
ketika_masa-lah	ketika	masa-lah	2
ketimbang_masa	ketimbang	masa	2
kira_masa	kira	masa	2
konteks_masa	konteks	masa	2
lokal_masa	lokal	masa	2
manfaatkan_masa	manfaatkan	masa	2
manusia_masa	manusia	masa	2
masa_ada	masa	ada	2
masa_adaptasi	masa	adaptasi	2
masa_agresi	masa	agresi	2
masa_anggaran	masa	anggaran	2
masa_antara	masa	antara	2
masa_atau	masa	atau	2
masa_bayar	masa	bayar	2
masa_berkuasanya	masa	berkuasanya	2
masa_bermain	masa	bermain	2
masa_bu-lan	masa	bu-lan	2
masa_buat	masa	buat	2
masa_calon	masa	calon	2
masa_dewasanya	masa	dewasanya	2
masa_dimana	masa	dimana	2
masa_dinasnya	masa	dinasnya	2
masa_disuruh	masa	disuruh	2
masa_dua	masa	dua	2
masa_duka	masa	duka	2
masa_edarnya	masa	edarnya	2
masa_empat	masa	empat	2
masa_era	masa	era	2
masa_erupsi	masa	erupsi	2
masa_evaluasi	masa	evaluasi	2
masa_free-agency	masa	free-agency	2
masa_gadisnya	masa	gadisnya	2
masa_gelap	masa	gelap	2
masa_haid	masa	haid	2
masa_ia	masa	ia	2
masa_idahnya	masa	idahnya	2
masa_inkubasinya	masa	inkubasinya	2
masa_iya	masa	iya	2
masa_ja-batannya	masa	ja-batannya	2
masa_jahiliah	masa	jahiliah	2
masa_jelas	masa	jelas	2
masa_kabinet	masa	kabinet	2
masa_kampa-nye	masa	kampa-nye	2
masa_keanggotaan	masa	keanggotaan	2
masa_kedaluwarsanya	masa	kedaluwarsanya	2
masa_kelam	masa	kelam	2
masa_kemarau	masa	kemarau	2
masa_kepe-mimpinan	masa	kepe-mimpinan	2
masa_kepelatihan	masa	kepelatihan	2
masa_kepengurusannya	masa	kepengurusannya	2
masa_kepresidenan	masa	kepresidenan	2
masa_ker-ja	masa	ker-ja	2
masa_kritisnya	masa	kritisnya	2
masa_lah	masa	lah	2
masa_lajangnya	masa	lajangnya	2
masa_langsung	masa	langsung	2
masa_lanjut	masa	lanjut	2
masa_launching	masa	launching	2
masa_liburannya	masa	liburannya	2
masa_low	masa	low	2
masa_magang	masa	magang	2
masa_malah	masa	malah	2
masa_melakukan	masa	melakukan	2
masa_membuat	masa	membuat	2
masa_mengandung	masa	mengandung	2
masa_menit	masa	menit	2
masa_menjadi	masa	menjadi	2
masa_menjalani	masa	menjalani	2
masa_menjelang	masa	menjelang	2
masa_menyusui	masa	menyusui	2
masa_minggu	masa	minggu	2
masa_moratorium	masa	moratorium	2
masa_operasi	masa	operasi	2
masa_operasional	masa	operasional	2
masa_orang	masa	orang	2
masa_pabrik	masa	pabrik	2
masa_paceklik	masa	paceklik	2
masa_pada	masa	pada	2
masa_pasca-Nabi	masa	pasca-Nabi	2
masa_pe-merintahan	masa	pe-merintahan	2
masa_pe-nahanan	masa	pe-nahanan	2
masa_pelarian	masa	pelarian	2
masa_pelatihan	masa	pelatihan	2
masa_pembayaran	masa	pembayaran	2
masa_pembebasan	masa	pembebasan	2
masa_peme-rintahan	masa	peme-rintahan	2
masa_peminjamannya	masa	peminjamannya	2
masa_pemulangan	masa	pemulangan	2
masa_penahanan-nya	masa	penahanan-nya	2
masa_pencalonan	masa	pencalonan	2
masa_penentuan	masa	penentuan	2
masa_pengabdian	masa	pengabdian	2
masa_pengangkutan	masa	pengangkutan	2
masa_pengembalian	masa	pengembalian	2
masa_penggunaan	masa	penggunaan	2
masa_penindakan	masa	penindakan	2
masa_penyelidikan	masa	penyelidikan	2
masa_penyesuaian	masa	penyesuaian	2
masa_pergolakan	masa	pergolakan	2
masa_perkembangannya	masa	perkembangannya	2
masa_pileg	masa	pileg	2
masa_pinjaman	masa	pinjaman	2
masa_pinjamannya	masa	pinjamannya	2
masa_prajabatan	masa	prajabatan	2
masa_prasejarah	masa	prasejarah	2
masa_pre-order	masa	pre-order	2
masa_puncaknya	masa	puncaknya	2
masa_registrasi	masa	registrasi	2
masa_rehatnya	masa	rehatnya	2
masa_repayment	masa	repayment	2
masa_resesnya	masa	resesnya	2
masa_saat	masa	saat	2
masa_sanggah	masa	sanggah	2
masa_sebagai	masa	sebagai	2
masa_seiring	masa	seiring	2
masa_seka-rang	masa	seka-rang	2
masa_selalu	masa	selalu	2
masa_selanjutnya	masa	selanjutnya	2
masa_seorang	masa	seorang	2
masa_setelah	masa	setelah	2
masa_siaga	masa	siaga	2
masa_so	masa	so	2
masa_subur	masa	subur	2
masa_sudah	masa	sudah	2
masa_sukar	masa	sukar	2
masa_suram	masa	suram	2
masa_tax	masa	tax	2
masa_tenggat	masa	tenggat	2
masa_terus	masa	terus	2
masa_tukas	masa	tukas	2
masa_verifikasi	masa	verifikasi	2
masa_weekend	masa	weekend	2
masa-lah_aset	masa-lah	aset	2
masa-lah_bagi	masa-lah	bagi	2
masa-lah_baru	masa-lah	baru	2
masa-lah_dana	masa-lah	dana	2
masa-lah_ekonomi	masa-lah	ekonomi	2
masa-lah_jika	masa-lah	jika	2
masa-lah_kekurangan	masa-lah	kekurangan	2
masa-lah_komitmen	masa-lah	komitmen	2
masa-lah_perekonomian	masa-lah	perekonomian	2
masa-lah_secara	masa-lah	secara	2
masa-lah_soal	masa-lah	soal	2
masa-lah_ujarnya	masa-lah	ujarnya	2
masa-masa_bulan	masa-masa	bulan	2
masa-masa_di	masa-masa	di	2
masa-masa_hari	masa-masa	hari	2
masa-masa_itu	masa-masa	itu	2
masa-masa_jet	masa-masa	jet	2
masa-masa_kampanye	masa-masa	kampanye	2
masa-masa_kecil	masa-masa	kecil	2
masa-masa_keemasan	masa-masa	keemasan	2
masa-masa_kejayaan	masa-masa	kejayaan	2
masa-masa_kritis	masa-masa	kritis	2
masa-masa_penuh	masa-masa	penuh	2
masa-masa_saat	masa-masa	saat	2
masa-masa_sebelumnya	masa-masa	sebelumnya	2
masa-masa_seperti	masa-masa	seperti	2
masa-masa_sukar	masa-masa	sukar	2
masa-masa_suram	masa-masa	suram	2
masa-masa_tersebut	masa-masa	tersebut	2
masa-masa_ujian	masa-masa	ujian	2
