ngram	w1	w2	w3	w4	n
beroperasi_di_lini_belakang	beroperasi	di	lini	belakang	2
bertolak_belakang_dengan_kesaksian	bertolak	belakang	dengan	kesaksian	2
bertolak_belakang_dengan_target	bertolak	belakang	dengan	target	2
bukan_karena_latar_belakang	bukan	karena	latar	belakang	2
bunuh_diri_pemain_belakang	bunuh	diri	pemain	belakang	2
crown_gigi_belakang_di	crown	gigi	belakang	di	2
dalam_kurun_waktu_belakangan	dalam	kurun	waktu	belakangan	2
dalam_sebulan_belakangan_ini	dalam	sebulan	belakangan	ini	2
dalam_tahun-tahun_belakangan_ini	dalam	tahun-tahun	belakangan	ini	2
dan_bagian_belakang_kepala	dan	bagian	belakang	kepala	2
dan_belakang_hunian_seluas	dan	belakang	hunian	seluas	2
dan_bertolak_belakang_dengan	dan	bertolak	belakang	dengan	2
dan_di_bagian_belakang	dan	di	bagian	belakang	2
dan_di_belakang_rumah	dan	di	belakang	rumah	2
dan_inci_di_belakang	dan	inci	di	belakang	2
dan_latar_belakang_pendidikan	dan	latar	belakang	pendidikan	2
dan_memiliki_latar_belakang	dan	memiliki	latar	belakang	2
dan_pemain_belakang_tersebut	dan	pemain	belakang	tersebut	2
dan_sumsum_tulang_belakang	dan	sumsum	tulang	belakang	2
dari_arah_belakang_dan	dari	arah	belakang	dan	2
dari_arah_belakang_jam	dari	arah	belakang	jam	2
dari_arah_belakang_korban	dari	arah	belakang	korban	2
dari_belakang_ada_yang	dari	belakang	ada	yang	2
dari_belakang_padahal_di	dari	belakang	padahal	di	2
dari_belakang_rumah_mereka	dari	belakang	rumah	mereka	2
dari_kebodohan_dan_keterbelakangan	dari	kebodohan	dan	keterbelakangan	2
dari_latar_belakang_dan	dari	latar	belakang	dan	2
dari_latar_belakang_pendidikan	dari	latar	belakang	pendidikan	2
dari_pebalap_dibelakangnya_yaitu	dari	pebalap	dibelakangnya	yaitu	2
dari_pintu_belakang_dan	dari	pintu	belakang	dan	2
dari_semua_latar_belakang	dari	semua	latar	belakang	2
dengan_kemiskinan_dan_keterbelakangan	dengan	kemiskinan	dan	keterbelakangan	2
dengan_latar_belakang_agama	dengan	latar	belakang	agama	2
dengan_latar_belakang_bahasa	dengan	latar	belakang	bahasa	2
dengan_latar_belakang_berbagai	dengan	latar	belakang	berbagai	2
dengan_latar_belakang_dan	dengan	latar	belakang	dan	2
dengan_latar_belakang_foto	dengan	latar	belakang	foto	2
dengan_latar_belakang_luar	dengan	latar	belakang	luar	2
dengan_latar_belakang_negara	dengan	latar	belakang	negara	2
dengan_latar_belakang_para	dengan	latar	belakang	para	2
dengan_latar_belakang_pemandangan	dengan	latar	belakang	pemandangan	2
dengan_latar_belakang_tugu	dengan	latar	belakang	tugu	2
dengan_lima_pemain_belakang	dengan	lima	pemain	belakang	2
dengan_melihat_latar_belakang	dengan	melihat	latar	belakang	2
dengan_pembalap_di_belakangnya	dengan	pembalap	di	belakangnya	2
dengan_perbedaan_latar_belakang	dengan	perbedaan	latar	belakang	2
dengan_posisi_duduk_membelakangi	dengan	posisi	duduk	membelakangi	2
depan_dan_belakang_yang	depan	dan	belakang	yang	2
depan_dan_roda_belakang	depan	dan	roda	belakang	2
di_area_persawahan_belakang	di	area	persawahan	belakang	2
di_bagian_belakang_kantor	di	bagian	belakang	kantor	2
di_bagian_belakang_kepala	di	bagian	belakang	kepala	2
di_bagian_belakang_kompleks	di	bagian	belakang	kompleks	2
di_bagian_belakang_mobil	di	bagian	belakang	mobil	2
di_bagian_belakang_pesawat	di	bagian	belakang	pesawat	2
di_bagian_belakang_sebagai	di	bagian	belakang	sebagai	2
di_bagian_belakang_terdapat	di	bagian	belakang	terdapat	2
di_bagian_belakang_warung	di	bagian	belakang	warung	2
di_bagian_belakangnya_sudah	di	bagian	belakangnya	sudah	2
di_belakang_dia_dan	di	belakang	dia	dan	2
di_belakang_itu_semua	di	belakang	itu	semua	2
di_belakang_kamar_namun	di	belakang	kamar	namun	2
di_belakang_kita_yaitu	di	belakang	kita	yaitu	2
di_belakang_negara-negara_maju	di	belakang	negara-negara	maju	2
di_belakang_pasar_karena	di	belakang	pasar	karena	2
di_belakang_rumah_telah	di	belakang	rumah	telah	2
di_belakang_rumahnya_di	di	belakang	rumahnya	di	2
di_belakang_salah_satu	di	belakang	salah	satu	2
di_belakang_tak_ada	di	belakang	tak	ada	2
di_halaman_belakang_rumah	di	halaman	belakang	rumah	2
di_kaca_belakang_mobil	di	kaca	belakang	mobil	2
di_kursi_belakang_mobil	di	kursi	belakang	mobil	2
di_landasan_militer_belakang	di	landasan	militer	belakang	2
di_lini_belakang_karena	di	lini	belakang	karena	2
di_lini_belakang_membuat	di	lini	belakang	membuat	2
di_sumsum_tulang_belakang	di	sumsum	tulang	belakang	2
dia_bertolak_belakang_dengan	dia	bertolak	belakang	dengan	2
dijadikan_latar_belakang_foto	dijadikan	latar	belakang	foto	2
dipasang_di_bagian_belakang	dipasang	di	bagian	belakang	2
dipengaruhi_oleh_latar_belakang	dipengaruhi	oleh	latar	belakang	2
ditabrak_dari_belakang_oleh	ditabrak	dari	belakang	oleh	2
ditarik_orang_dari_belakang	ditarik	orang	dari	belakang	2
ditilik_jauh_ke_belakang	ditilik	jauh	ke	belakang	2
dua_hari_belakangan_ini	dua	hari	belakangan	ini	2
dua_tahun_belakangan_hanya	dua	tahun	belakangan	hanya	2
duduk_di_barisan_belakang	duduk	di	barisan	belakang	2
duduk_di_belakang_kemudi	duduk	di	belakang	kemudi	2
empat_bek_di_belakang	empat	bek	di	belakang	2
film_dengan_latar_belakang	film	dengan	latar	belakang	2
gigi_belakang_di_dokter	gigi	belakang	di	dokter	2
halaman_belakang_rumahnya_di	halaman	belakang	rumahnya	di	2
halaman_depan_dan_belakang	halaman	depan	dan	belakang	2
hampir_tahun_di_belakang	hampir	tahun	di	belakang	2
hanya_lini_belakang_tapi	hanya	lini	belakang	tapi	2
harga_beras_yang_belakangan	harga	beras	yang	belakangan	2
ini_berada_di_belakang	ini	berada	di	belakang	2
ini_memiliki_latar_belakang	ini	memiliki	latar	belakang	2
ini_paha_belakang_dijual	ini	paha	belakang	dijual	2
ini_sangat_bertolak_belakang	ini	sangat	bertolak	belakang	2
ini_tentu_bertolak_belakang	ini	tentu	bertolak	belakang	2
intensitas_hujan_belakangan_ini	intensitas	hujan	belakangan	ini	2
itu_punya_latar_belakang	itu	punya	latar	belakang	2
itu_sangat_bertolak_belakang	itu	sangat	bertolak	belakang	2
jari_di_bagian_belakang	jari	di	bagian	belakang	2
juga_bertolak_belakang_dengan	juga	bertolak	belakang	dengan	2
juga_dilengkapi_kamera_belakang	juga	dilengkapi	kamera	belakang	2
juga_harus_berlatar_belakang	juga	harus	berlatar	belakang	2
jurusan_dan_latar_belakang	jurusan	dan	latar	belakang	2
kamera_belakang_12MP_dan	kamera	belakang	12MP	dan	2
kamera_belakang_beresolusi_megapiksel	kamera	belakang	beresolusi	megapiksel	2
kamera_belakang_megapiksel_dan	kamera	belakang	megapiksel	dan	2
kamera_pengintai_belakang_sistem	kamera	pengintai	belakang	sistem	2
kanan_depan_dan_belakang	kanan	depan	dan	belakang	2
karena_latar_belakang_pendidikan	karena	latar	belakang	pendidikan	2
karena_latar_belakang_politik	karena	latar	belakang	politik	2
karena_perubahan_tulang_belakang	karena	perubahan	tulang	belakang	2
ke_belakang_menjadi_ukuran	ke	belakang	menjadi	ukuran	2
kebodohan_dan_keterbelakangan_ujarnya	kebodohan	dan	keterbelakangan	ujarnya	2
keluar_lewat_pintu_belakang	keluar	lewat	pintu	belakang	2
kepala_bagian_belakang_dan	kepala	bagian	belakang	dan	2
kian_marak_belakangan_ini	kian	marak	belakangan	ini	2
kokoh_di_lini_belakang	kokoh	di	lini	belakang	2
kursi_belakang_mobil_saat	kursi	belakang	mobil	saat	2
lahan_kosong_di_belakang	lahan	kosong	di	belakang	2
lain_adalah_latar_belakang	lain	adalah	latar	belakang	2
latar_belakang_agama_dan	latar	belakang	agama	dan	2
latar_belakang_bisnis_yang	latar	belakang	bisnis	yang	2
latar_belakang_dan_budaya	latar	belakang	dan	budaya	2
latar_belakang_di_dunia	latar	belakang	di	dunia	2
latar_belakang_gunung_berapi	latar	belakang	gunung	berapi	2
latar_belakang_justru_memberikan	latar	belakang	justru	memberikan	2
latar_belakang_pelaksanaan_program	latar	belakang	pelaksanaan	program	2
latar_belakang_pendidikan_sebagai	latar	belakang	pendidikan	sebagai	2
latar_belakang_pendidikan_yaitu	latar	belakang	pendidikan	yaitu	2
latar_belakang_sebagai_pengajar	latar	belakang	sebagai	pengajar	2
latar_belakang_tugu_atau	latar	belakang	tugu	atau	2
latar_belakang_untuk_mengulik	latar	belakang	untuk	mengulik	2
latar_belakang_yang_berbeda-beda	latar	belakang	yang	berbeda-beda	2
latar_belakangnya_memiliki_hak	latar	belakangnya	memiliki	hak	2
lelaki_muda_di_belakangnya	lelaki	muda	di	belakangnya	2
lihat_dalam_sebulan_belakangan	lihat	dalam	sebulan	belakangan	2
lihat_dari_arah_belakang	lihat	dari	arah	belakang	2
lima_tahun_ke_belakang	lima	tahun	ke	belakang	2
lini_belakang_tapi_juga	lini	belakang	tapi	juga	2
mAh_kamera_belakang_13MP	mAh	kamera	belakang	13MP	2
maraknya_aksi_demo_belakangan	maraknya	aksi	demo	belakangan	2
masuk_dari_pintu_belakang	masuk	dari	pintu	belakang	2
melaju_di_belakang_sepeda	melaju	di	belakang	sepeda	2
melihat_latar_belakang_politik	melihat	latar	belakang	politik	2
melihat_siapapun_di_belakang	melihat	siapapun	di	belakang	2
memasang_crown_gigi_belakang	memasang	crown	gigi	belakang	2
memiliki_latar_belakang_budaya	memiliki	latar	belakang	budaya	2
memiliki_latar_belakang_keilmuan	memiliki	latar	belakang	keilmuan	2
memiliki_latar_belakang_politik	memiliki	latar	belakang	politik	2
memiliki_latar_belakang_sejarah	memiliki	latar	belakang	sejarah	2
mempunyai_latar_belakang_sebagai	mempunyai	latar	belakang	sebagai	2
mempunyai_latar_belakang_yang	mempunyai	latar	belakang	yang	2
memukul_kepala_bagian_belakang	memukul	kepala	bagian	belakang	2
menabrak_bagian_belakang_truk	menabrak	bagian	belakang	truk	2
menengok_ke_belakang_melihat	menengok	ke	belakang	melihat	2
mengalami_keterbelakangan_mental_dan	mengalami	keterbelakangan	mental	dan	2
mengayunkan_parang_dari_belakang	mengayunkan	parang	dari	belakang	2
mengecoh_pemain_belakang_serta	mengecoh	pemain	belakang	serta	2
mengenai_latar_belakang_pendidikannya	mengenai	latar	belakang	pendidikannya	2
menghantam_bagian_belakang_mobil	menghantam	bagian	belakang	mobil	2
mengindikasikan_otot-otot_tulang_belakang	mengindikasikan	otot-otot	tulang	belakang	2
menit_dari_pebalap_dibelakangnya	menit	dari	pebalap	dibelakangnya	2
menuju_ke_bagian_belakang	menuju	ke	bagian	belakang	2
menurut_dia_bertolak_belakang	menurut	dia	bertolak	belakang	2
mesin_penggerak_roda_belakang	mesin	penggerak	roda	belakang	2
mobil_dari_arah_belakang	mobil	dari	arah	belakang	2
momok_untuk_barisan_belakang	momok	untuk	barisan	belakang	2
orang_dari_belakang_padahal	orang	dari	belakang	padahal	2
otot-otot_tulang_belakang_para	otot-otot	tulang	belakang	para	2
pada_bagian_belakang_kepala	pada	bagian	belakang	kepala	2
pada_bagian_belakang_smartphone	pada	bagian	belakang	smartphone	2
pada_kepala_bagian_belakang	pada	kepala	bagian	belakang	2
pada_tulang_belakang_wanita	pada	tulang	belakang	wanita	2
padahal_di_belakang_tak	padahal	di	belakang	tak	2
paha_belakang_dijual_seharga	paha	belakang	dijual	seharga	2
paling_belakang_akibat_gagal	paling	belakang	akibat	gagal	2
para_pemain_belakang_yang	para	pemain	belakang	yang	2
pemain_belakang_itu_akan	pemain	belakang	itu	akan	2
pemain_belakang_serta_kiper	pemain	belakang	serta	kiper	2
pemain_belakang_tersebut_saat	pemain	belakang	tersebut	saat	2
pemain_belakang_yang_layak	pemain	belakang	yang	layak	2
pendapat_yang_terjadi_belakangan	pendapat	yang	terjadi	belakangan	2
penderita_sakit_tulang_belakang	penderita	sakit	tulang	belakang	2
pengeras_suara_di_belakang	pengeras	suara	di	belakang	2
penggerak_roda_belakang_dengan	penggerak	roda	belakang	dengan	2
pengintai_belakang_sistem_antisipasi	pengintai	belakang	sistem	antisipasi	2
perempuan_bertolak_belakang_dengan	perempuan	bertolak	belakang	dengan	2
peristiwa_yang_terjadi_belakangan	peristiwa	yang	terjadi	belakangan	2
pertanyaan_mengenai_latar_belakang	pertanyaan	mengenai	latar	belakang	2
perubahan_tulang_belakang_dan	perubahan	tulang	belakang	dan	2
politik_di_belakang_mereka	politik	di	belakang	mereka	2
politisi_dengan_latar_belakang	politisi	dengan	latar	belakang	2
posisi_duduk_membelakangi_penonton	posisi	duduk	membelakangi	penonton	2
posisi_keempat_di_belakang	posisi	keempat	di	belakang	2
posisi_ketiga_di_belakang	posisi	ketiga	di	belakang	2
posisi_paling_belakang_akibat	posisi	paling	belakang	akibat	2
potensi_perempuan_bertolak_belakang	potensi	perempuan	bertolak	belakang	2
roda_belakang_dengan_dua	roda	belakang	dengan	dua	2
samping_dan_belakang_gedung	samping	dan	belakang	gedung	2
samping_dan_belakang_hunian	samping	dan	belakang	hunian	2
sebidang_tanah_di_belakang	sebidang	tanah	di	belakang	2
sedang_tidur_di_belakang	sedang	tidur	di	belakang	2
sejumlah_media_belakangan_ini	sejumlah	media	belakangan	ini	2
selalu_berada_di_belakang	selalu	berada	di	belakang	2
selama_beberapa_hari_belakangan	selama	beberapa	hari	belakangan	2
selama_beberapa_tahun_belakangan	selama	beberapa	tahun	belakangan	2
selang_beberapa_tahun_belakangan	selang	beberapa	tahun	belakangan	2
selang_beberapa_waktu_belakangan	selang	beberapa	waktu	belakangan	2
