ngram	w1	w2	w3	w4	w5	n
me-ngedepankan_asas_praduga_tak_bersalah	me-ngedepankan	asas	praduga	tak	bersalah	3
memanfaatkan_kemelut_di_depan_gawang	memanfaatkan	kemelut	di	depan	gawang	3
menargetkan_tiga_bulan_ke_depan	menargetkan	tiga	bulan	ke	depan	3
menjadi_salah_satu_garda_terdepan	menjadi	salah	satu	garda	terdepan	3
minggu_depan_pekan_ini_red	minggu	depan	pekan	ini	red	3
pada_bagian_depan_dan_belakang	pada	bagian	depan	dan	belakang	3
pada_dua_tahun_ke_depan	pada	dua	tahun	ke	depan	3
pada_tahun_depan_akan_lebih	pada	tahun	depan	akan	lebih	3
pekan_depan_dengan_agenda_mendengarkan	pekan	depan	dengan	agenda	mendengarkan	3
pekan_depan_pe-kan_ini_red	pekan	depan	pe-kan	ini	red	3
pukul_satu_siang_di_depan	pukul	satu	siang	di	depan	3
saat_ini_dan_masa_depan	saat	ini	dan	masa	depan	3
saat_melakukan_demonstrasi_di_depan	saat	melakukan	demonstrasi	di	depan	3
salah_satu_garda_terdepan_dalam	salah	satu	garda	terdepan	dalam	3
sampai_sepuluh_tahun_ke_depan	sampai	sepuluh	tahun	ke	depan	3
sampai_tiga_bulan_ke_depan	sampai	tiga	bulan	ke	depan	3
selama_dua_bulan_ke_depan	selama	dua	bulan	ke	depan	3
selama_dua_minggu_ke_depan	selama	dua	minggu	ke	depan	3
selama_dua_tahun_ke_depan	selama	dua	tahun	ke	depan	3
selama_satu_bulan_ke_depan	selama	satu	bulan	ke	depan	3
selama_tiga_bulan_ke_depan	selama	tiga	bulan	ke	depan	3
sudah_ada_di_depan_mata	sudah	ada	di	depan	mata	3
sudah_menanti_di_depan_mata	sudah	menanti	di	depan	mata	3
supaya_ke_depan_nanti_tidak	supaya	ke	depan	nanti	tidak	3
tahun_depan_akan_lebih_baik	tahun	depan	akan	lebih	baik	3
tahun_ini_atau_tahun_depan	tahun	ini	atau	tahun	depan	3
tetap_berada_di_garis_terdepan	tetap	berada	di	garis	terdepan	3
titik_kumpul_massa_di_depan	titik	kumpul	massa	di	depan	3
untuk_berbicara_di_depan_umum	untuk	berbicara	di	depan	umum	3
untuk_menjadi_yang_terdepan_dalam	untuk	menjadi	yang	terdepan	dalam	3
waktu_tiga_bulan_ke_depan	waktu	tiga	bulan	ke	depan	3
yang_berada_di_depan_rumah	yang	berada	di	depan	rumah	3
yang_sama_di_depan_hukum	yang	sama	di	depan	hukum	3
yang_terletak_persis_di_depan	yang	terletak	persis	di	depan	3
3T_terdepan_terluar_dan_tertinggal	3T	terdepan	terluar	dan	tertinggal	2
ada_di_depan_mata_saya	ada	di	depan	mata	saya	2
adalah_calon_pemimpin_masa_depan	adalah	calon	pemimpin	masa	depan	2
adalah_garda_terdepan_dalam_menjaga	adalah	garda	terdepan	dalam	menjaga	2
adalah_industri_masa_depan_untuk	adalah	industri	masa	depan	untuk	2
adalah_investasi_untuk_masa_depan	adalah	investasi	untuk	masa	depan	2
adalah_kunci_menghadapi_masa_depan	adalah	kunci	menghadapi	masa	depan	2
adalah_masa_depan_bangsa_dan	adalah	masa	depan	bangsa	dan	2
agar_ke_depan_lebih_baik	agar	ke	depan	lebih	baik	2
agar_ke_depan_nanti_tidak	agar	ke	depan	nanti	tidak	2
agar_ke_depan_tidak_ada	agar	ke	depan	tidak	ada	2
agar_ke_depan_tidak_terjadi	agar	ke	depan	tidak	terjadi	2
agar_kedepan_nanti_bencana_akibat	agar	kedepan	nanti	bencana	akibat	2
akan_berlangsung_hingga_pekan_depan	akan	berlangsung	hingga	pekan	depan	2
akan_bermain_di_depan_pendukung	akan	bermain	di	depan	pendukung	2
akan_digelar_pekan_depan_dengan	akan	digelar	pekan	depan	dengan	2
akan_dilakukan_pada_tahun_depan	akan	dilakukan	pada	tahun	depan	2
akan_dilanjutkan_pekan_depan_dengan	akan	dilanjutkan	pekan	depan	dengan	2
akan_dirilis_pada_pekan_depan	akan	dirilis	pada	pekan	depan	2
akan_diserahkan_pada_pekan_depan	akan	diserahkan	pada	pekan	depan	2
akan_meningkat_tahun_depan_menjadi	akan	meningkat	tahun	depan	menjadi	2
akan_menjadi_garda_terdepan_dalam	akan	menjadi	garda	terdepan	dalam	2
akan_menjadi_garda_terdepan_untuk	akan	menjadi	garda	terdepan	untuk	2
akan_terjadi_beberapa_hari_kedepan	akan	terjadi	beberapa	hari	kedepan	2
alternatif_solusi_energi_masa_depan	alternatif	solusi	energi	masa	depan	2
anak_cucu_kita_ke_depan	anak	cucu	kita	ke	depan	2
anak_merupakan_aset_masa_depan	anak	merupakan	aset	masa	depan	2
anak_untuk_masa_depannya_yang	anak	untuk	masa	depannya	yang	2
anak-anak_kami_ke_depan_ucapnya	anak-anak	kami	ke	depan	ucapnya	2
arah_masa_depan_bumi_dan	arah	masa	depan	bumi	dan	2
atau_dua_bulan_ke_depan	atau	dua	bulan	ke	depan	2
atau_dua_hari_ke_depan	atau	dua	hari	ke	depan	2
atau_empat_bulan_ke_depan	atau	empat	bulan	ke	depan	2
atau_pulau_terluar_terdalam_terdepan	atau	pulau	terluar	terdalam	terdepan	2
atau_tiga_minggu_ke_depan	atau	tiga	minggu	ke	depan	2
awal_pekan_depan_keputusan_ini	awal	pekan	depan	keputusan	ini	2
bagi_anak-anak_kami_ke_depan	bagi	anak-anak	kami	ke	depan	2
bagi_masa_depan_lebih_baik	bagi	masa	depan	lebih	baik	2
bagi_masa_depan_yang_lebih	bagi	masa	depan	yang	lebih	2
bagi_mereka_untuk_ke_depannya	bagi	mereka	untuk	ke	depannya	2
bagian_depan_superblok_ini_juga	bagian	depan	superblok	ini	juga	2
bahaya_pendidikan_ada_di_depan	bahaya	pendidikan	ada	di	depan	2
bahwa_pariwisata_adalah_masa_depan	bahwa	pariwisata	adalah	masa	depan	2
baik_sehingga_ke_depan_mempunyai	baik	sehingga	ke	depan	mempunyai	2
bangsa_di_depan_majelis_taklim	bangsa	di	depan	majelis	taklim	2
banyak_membahas_pertanian_ke_depan	banyak	membahas	pertanian	ke	depan	2
baris_depan_dan_empat_kali	baris	depan	dan	empat	kali	2
barisan_depan_disergap_para_petugas	barisan	depan	disergap	para	petugas	2
baru_akan_dimulai_tahun_depan	baru	akan	dimulai	tahun	depan	2
baru_bisa_dilakukan_tahun_depan	baru	bisa	dilakukan	tahun	depan	2
baru_untuk_tahun_depan_agar	baru	untuk	tahun	depan	agar	2
beberapa_bulan_ke_depan_akan	beberapa	bulan	ke	depan	akan	2
beberapa_hari_ke_depan_hujan	beberapa	hari	ke	depan	hujan	2
beberapa_hari_ke_depan_sebelum	beberapa	hari	ke	depan	sebelum	2
beberapa_lagu_buat_tahun_depan	beberapa	lagu	buat	tahun	depan	2
beberapa_puluh_tahun_ke_depan	beberapa	puluh	tahun	ke	depan	2
beberapa_tahun_ke_depan_menurut	beberapa	tahun	ke	depan	menurut	2
berada_di_baris_depan_dan	berada	di	baris	depan	dan	2
berada_di_depan_gawang_lawan	berada	di	depan	gawang	lawan	2
berada_di_depan_gawang_yang	berada	di	depan	gawang	yang	2
berada_di_depan_mobil_pengaman	berada	di	depan	mobil	pengaman	2
berada_di_garda_depan_dalam	berada	di	garda	depan	dalam	2
berada_di_garis_depan_perjuangan	berada	di	garis	depan	perjuangan	2
berada_di_garis_terdepan_dalam	berada	di	garis	terdepan	dalam	2
berada_tepat_di_depan_gawang	berada	tepat	di	depan	gawang	2
berada_tepat_di_depan_pintu	berada	tepat	di	depan	pintu	2
berdiri_di_depan_mahasiswa_untuk	berdiri	di	depan	mahasiswa	untuk	2
berdiri_di_tengah-depan_masjid_yang	berdiri	di	tengah-depan	masjid	yang	2
berdiri_kokoh_di_bagian_depan	berdiri	kokoh	di	bagian	depan	2
berharap_ke_depan_langkah_ini	berharap	ke	depan	langkah	ini	2
berharap_ke_depan_lebih_banyak	berharap	ke	depan	lebih	banyak	2
berhasil_finis_terdepan_di_seri	berhasil	finis	terdepan	di	seri	2
berhenti_di_depan_rumah_makan	berhenti	di	depan	rumah	makan	2
berjajar_di_depan_kantor_mapolres	berjajar	di	depan	kantor	mapolres	2
berjalan_dengan_baik_ke_depan	berjalan	dengan	baik	ke	depan	2
berkumpul_di_depan_patung_kuda	berkumpul	di	depan	patung	kuda	2
bermain_di_depan_pendukung_sendiri	bermain	di	depan	pendukung	sendiri	2
bermain_di_depan_publik_sendiri	bermain	di	depan	publik	sendiri	2
bermain_di_depan_publiknya_sendiri	bermain	di	depan	publiknya	sendiri	2
bermain_sebelum_musim_depan_dimulai	bermain	sebelum	musim	depan	dimulai	2
berpikir_tentang_masa_depannya_yang	berpikir	tentang	masa	depannya	yang	2
berpotongan_kasar_menghias_teras_depan	berpotongan	kasar	menghias	teras	depan	2
bersama_lebaran_tahun_depan_bertambah	bersama	lebaran	tahun	depan	bertambah	2
berusaha_semaksimal_mungkin_agar_kedepan	berusaha	semaksimal	mungkin	agar	kedepan	2
berwarna_kecoklatan_berdiri_di_tengah-depan	berwarna	kecoklatan	berdiri	di	tengah-depan	2
biomassa_adalah_industri_masa_depan	biomassa	adalah	industri	masa	depan	2
bisa_membawa_masa_depan_induk	bisa	membawa	masa	depan	induk	2
bisa_menjadi_pemimpin_masa_depan	bisa	menjadi	pemimpin	masa	depan	2
bola_dari_depan_mulut_gawang	bola	dari	depan	mulut	gawang	2
bom_bunuh_diri_di_depan	bom	bunuh	diri	di	depan	2
bulan_depan_dan_dampak_keputusan	bulan	depan	dan	dampak	keputusan	2
bulan_ke_depan_akan_dilakukan	bulan	ke	depan	akan	dilakukan	2
bulan_ke_depan_masih_akan	bulan	ke	depan	masih	akan	2
bulan_ke_depan_selesai_menutup	bulan	ke	depan	selesai	menutup	2
buruh_akan_berorasi_di_depan	buruh	akan	berorasi	di	depan	2
bus_itu_disiapkan_di_depan	bus	itu	disiapkan	di	depan	2
calon_pemimpin_masa_depan_yang	calon	pemimpin	masa	depan	yang	2
cantik_yang_memanjang_di_depan	cantik	yang	memanjang	di	depan	2
central_di_lini_depan_dan	central	di	lini	depan	dan	2
cermin_tikungan_tahun_depan_mencapai	cermin	tikungan	tahun	depan	mencapai	2
consumer_good_di_masa_depan	consumer	good	di	masa	depan	2
cucu_kita_di_masa_depan	cucu	kita	di	masa	depan	2
daerah_3T_terdepan_terluar_dan	daerah	3T	terdepan	terluar	dan	2
daerah_tertinggal_terdepan_dan_terluar	daerah	tertinggal	terdepan	dan	terluar	2
daerah-daerah_tertinggal_terluar_dan_terdepan	daerah-daerah	tertinggal	terluar	dan	terdepan	2
dalam_dua_laga_ke_depan	dalam	dua	laga	ke	depan	2
dalam_enam_tahun_ke_depan	dalam	enam	tahun	ke	depan	2
dalam_kampanye_ke_depan_lebih	dalam	kampanye	ke	depan	lebih	2
dalam_menjawab_tantangan_masa_depan	dalam	menjawab	tantangan	masa	depan	2
dalam_pemilihan_presiden_tahun_depan	dalam	pemilihan	presiden	tahun	depan	2
dalam_satu_bulan_ke_depan	dalam	satu	bulan	ke	depan	2
dalam_satu_minggu_ke_depan	dalam	satu	minggu	ke	depan	2
dalam_satu_pekan_ke_depan	dalam	satu	pekan	ke	depan	2
dalam_tahun_ke_depan_bisa	dalam	tahun	ke	depan	bisa	2
dalam_waktu_bulan_ke_depan	dalam	waktu	bulan	ke	depan	2
dalam_waktu_seminggu_ke_depan	dalam	waktu	seminggu	ke	depan	2
dalam_waktu_sepekan_ke_depan	dalam	waktu	sepekan	ke	depan	2
dan_di_masa_depan_sangat	dan	di	masa	depan	sangat	2
dan_dibutuhkan_semoga_ke_depan	dan	dibutuhkan	semoga	ke	depan	2
dan_empat_kali_start_terdepan	dan	empat	kali	start	terdepan	2
dan_kebutuhan_penerbangan_ke_depannya	dan	kebutuhan	penerbangan	ke	depannya	2
dan_laut_sebagai_masa_depan	dan	laut	sebagai	masa	depan	2
dan_masa_depan_bangsa_namun	dan	masa	depan	bangsa	namun	2
dan_masa_depan_umat_manusia	dan	masa	depan	umat	manusia	2
dan_menatap_ke_masa_depan	dan	menatap	ke	masa	depan	2
dan_menggebrak_ke_depan_ketika	dan	menggebrak	ke	depan	ketika	2
dan_pencerahan_bagi_masa_depan	dan	pencerahan	bagi	masa	depan	2
dan_sukses_di_masa_depan	dan	sukses	di	masa	depan	2
dan_terbaik_karena_kedepannya_mereka	dan	terbaik	karena	kedepannya	mereka	2
dan_tetap_berada_di_depan	dan	tetap	berada	di	depan	2
dapat_berdiri_di_depan_mahasiswa	dapat	berdiri	di	depan	mahasiswa	2
dapat_berkompetisi_di_masa_depan	dapat	berkompetisi	di	masa	depan	2
dari_jarak_dekat_di_depan	dari	jarak	dekat	di	depan	2
dari_posisi_paling_depan_pada	dari	posisi	paling	depan	pada	2
dengan_kedalaman_kolam_di_depan	dengan	kedalaman	kolam	di	depan	2
dengan_mengedepankan_prinsip-prinsip_demokrasi_dan	dengan	mengedepankan	prinsip-prinsip	demokrasi	dan	2
dengan_mengunggulkan_kamera_depan_dengan	dengan	mengunggulkan	kamera	depan	dengan	2
dengan_rakyat_menjemput_masa_depan	dengan	rakyat	menjemput	masa	depan	2
depan_ada_apa-apa_dengan_pekerjaan	depan	ada	apa-apa	dengan	pekerjaan	2
depan_ada_baiknya_ditandai_dengan	depan	ada	baiknya	ditandai	dengan	2
depan_akan_lebih_banyak_lagi	depan	akan	lebih	banyak	lagi	2
depan_akan_mencapai_di_atas	depan	akan	mencapai	di	atas	2
depan_akan_turun_lagi_menjadi	depan	akan	turun	lagi	menjadi	2
depan_anak_cucu_kita_ujarnya	depan	anak	cucu	kita	ujarnya	2
depan_anak_dipengaruhi_oleh_sentuhan	depan	anak	dipengaruhi	oleh	sentuhan	2
depan_bertambah_dari_tiga_hari	depan	bertambah	dari	tiga	hari	2
depan_bisa_juga_mengulangi_sukses	depan	bisa	juga	mengulangi	sukses	2
depan_bisa_lebih_baik_lagi	depan	bisa	lebih	baik	lagi	2
depan_bisa_terselenggara_lebih_hebat	depan	bisa	terselenggara	lebih	hebat	2
depan_bumi_dan_seluruh_mahluk	depan	bumi	dan	seluruh	mahluk	2
depan_dalam_membangun_generasi_muda	depan	dalam	membangun	generasi	muda	2
depan_dan_dampak_keputusan_penurunan	depan	dan	dampak	keputusan	penurunan	2
depan_dan_dapat_menyamai_angka	depan	dan	dapat	menyamai	angka	2
depan_dan_empat_kali_start	depan	dan	empat	kali	start	2
depan_dan_inci_di_belakang	depan	dan	inci	di	belakang	2
depan_dan_untuk_penumpang_yang	depan	dan	untuk	penumpang	yang	2
depan_daya_tahan_pemain_untuk	depan	daya	tahan	pemain	untuk	2
depan_dengan_agenda_mendengarkan_keterangan	depan	dengan	agenda	mendengarkan	keterangan	2
depan_dengan_cara_mengembangkan_para	depan	dengan	cara	mengembangkan	para	2
depan_dengan_lebih_cermat_dan	depan	dengan	lebih	cermat	dan	2
depan_dengan_menempati_posisi_kedua	depan	dengan	menempati	posisi	kedua	2
depan_desa_akan_membantu_kota	depan	desa	akan	membantu	kota	2
depan_dirinya_mengharapkan_akan_ada	depan	dirinya	mengharapkan	akan	ada	2
depan_disergap_para_petugas_keamanan	depan	disergap	para	petugas	keamanan	2
depan_gapura_yang_telah_dicat	depan	gapura	yang	telah	dicat	2
depan_gerbang_komplek_khusus_penghuni	depan	gerbang	komplek	khusus	penghuni	2
depan_induk_sepak_bola_dunia	depan	induk	sepak	bola	dunia	2
depan_investasi_ini_akan_diperluas	depan	investasi	ini	akan	diperluas	2
depan_jika_terpilih_akan_fokus	depan	jika	terpilih	akan	fokus	2
depan_juara_dunia_tiga_kali	depan	juara	dunia	tiga	kali	2
depan_kami_menargetkan_dapat_menambah	depan	kami	menargetkan	dapat	menambah	2
depan_karena_naiknya_investasi_tetap	depan	karena	naiknya	investasi	tetap	2
depan_karena_pendapatannya_masih_pas-pasan	depan	karena	pendapatannya	masih	pas-pasan	2
depan_kelas_di_antara_murid-murid	depan	kelas	di	antara	murid-murid	2
depan_keuangan_syariah_masih_menjanjikan	depan	keuangan	syariah	masih	menjanjikan	2
depan_kita_harapkan_dengan_berkembangnya	depan	kita	harapkan	dengan	berkembangnya	2
depan_kita_ingin_membuat_regulasi	depan	kita	ingin	membuat	regulasi	2
depan_kompetisi_sepak_bola_wanita	depan	kompetisi	sepak	bola	wanita	2
depan_langkah_ini_diikuti_pula	depan	langkah	ini	diikuti	pula	2
depan_lantaran_desainnya_yang_simpel	depan	lantaran	desainnya	yang	simpel	2
depan_lebih_baik_umat_manusia	depan	lebih	baik	umat	manusia	2
depan_lebih_mengutamakan_pertarungan_ide	depan	lebih	mengutamakan	pertarungan	ide	2
depan_mahasiswa_untuk_menyajikan_materi	depan	mahasiswa	untuk	menyajikan	materi	2
depan_mempunyai_prospek_menjadi_daerah	depan	mempunyai	prospek	menjadi	daerah	2
depan_nanti_tidak_lagi_terjadi	depan	nanti	tidak	lagi	terjadi	2
depan_pada_untuk_tahapan_awal	depan	pada	untuk	tahapan	awal	2
depan_pekan_ini_red_tim	depan	pekan	ini	red	tim	2
depan_pekan_ini_red_ujar	depan	pekan	ini	red	ujar	2
depan_pemain_spesialis_ganda_putra	depan	pemain	spesialis	ganda	putra	2
depan_pemerintah_dapat_mengatasi_hal	depan	pemerintah	dapat	mengatasi	hal	2
depan_pemerintah_juga_akan_mengimpor	depan	pemerintah	juga	akan	mengimpor	2
