ngram	w1	w2	w3	w4	w5	n
kamera_pengintai_belakang_sistem_antisipasi	kamera	pengintai	belakang	sistem	antisipasi	2
kami_lihat_dari_arah_belakang	kami	lihat	dari	arah	belakang	2
karena_maraknya_aksi_demo_belakangan	karena	maraknya	aksi	demo	belakangan	2
karena_perubahan_tulang_belakang_dan	karena	perubahan	tulang	belakang	dan	2
ke_belakang_menjadi_ukuran_maka	ke	belakang	menjadi	ukuran	maka	2
ke_tengah_dihadang_pemain_belakang	ke	tengah	dihadang	pemain	belakang	2
kiri_kanan_depan_dan_belakang	kiri	kanan	depan	dan	belakang	2
kurun_waktu_dua_tahun_belakangan	kurun	waktu	dua	tahun	belakangan	2
lain_adalah_latar_belakang_pendidikan	lain	adalah	latar	belakang	pendidikan	2
latar_belakang_di_dunia_industri	latar	belakang	di	dunia	industri	2
latar_belakang_justru_memberikan_peluang	latar	belakang	justru	memberikan	peluang	2
latar_belakang_mulai_dari_pelajar	latar	belakang	mulai	dari	pelajar	2
latar_belakang_pendidikan_yaitu_minimal	latar	belakang	pendidikan	yaitu	minimal	2
latar_belakang_sebagai_pengajar_di	latar	belakang	sebagai	pengajar	di	2
latar_belakang_tugu_atau_pemandangan	latar	belakang	tugu	atau	pemandangan	2
latar_belakang_untuk_mengulik_lebih	latar	belakang	untuk	mengulik	lebih	2
latar_belakangnya_memiliki_hak_dan	latar	belakangnya	memiliki	hak	dan	2
lekat_dengan_kemiskinan_dan_keterbelakangan	lekat	dengan	kemiskinan	dan	keterbelakangan	2
lihat_dalam_sebulan_belakangan_ini	lihat	dalam	sebulan	belakangan	ini	2
lihat_dari_arah_belakang_jam	lihat	dari	arah	belakang	jam	2
lini_belakang_tapi_juga_lini	lini	belakang	tapi	juga	lini	2
maraknya_aksi_demo_belakangan_ini	maraknya	aksi	demo	belakangan	ini	2
melaju_di_belakang_sepeda_motor	melaju	di	belakang	sepeda	motor	2
memandang_latar_belakang_agama_suku	memandang	latar	belakang	agama	suku	2
memasang_crown_gigi_belakang_di	memasang	crown	gigi	belakang	di	2
memilih_berfoto_dengan_latar_belakang	memilih	berfoto	dengan	latar	belakang	2
memiliki_latar_belakang_pendidikan_sebagai	memiliki	latar	belakang	pendidikan	sebagai	2
memiliki_latar_belakang_sebagai_pengajar	memiliki	latar	belakang	sebagai	pengajar	2
memukul_kepala_bagian_belakang_korban	memukul	kepala	bagian	belakang	korban	2
mengecoh_pemain_belakang_serta_kiper	mengecoh	pemain	belakang	serta	kiper	2
menggunakan_mesin_penggerak_roda_belakang	menggunakan	mesin	penggerak	roda	belakang	2
mengindikasikan_otot-otot_tulang_belakang_para	mengindikasikan	otot-otot	tulang	belakang	para	2
menit_dari_pebalap_dibelakangnya_yaitu	menit	dari	pebalap	dibelakangnya	yaitu	2
menjadi_momok_untuk_barisan_belakang	menjadi	momok	untuk	barisan	belakang	2
menjamin_harga_beras_yang_belakangan	menjamin	harga	beras	yang	belakangan	2
menjual_tiket_dari_pintu_belakang	menjual	tiket	dari	pintu	belakang	2
menurun_sejak_beberapa_tahun_belakangan	menurun	sejak	beberapa	tahun	belakangan	2
menurut_dia_bertolak_belakang_dengan	menurut	dia	bertolak	belakang	dengan	2
menyayangkan_potensi_perempuan_bertolak_belakang	menyayangkan	potensi	perempuan	bertolak	belakang	2
merebut_posisi_kedua_di_belakang	merebut	posisi	kedua	di	belakang	2
mesin_penggerak_roda_belakang_dengan	mesin	penggerak	roda	belakang	dengan	2
muncul_pertanyaan_mengenai_latar_belakang	muncul	pertanyaan	mengenai	latar	belakang	2
orang_dari_belakang_padahal_di	orang	dari	belakang	padahal	di	2
otak_dan_sumsum_tulang_belakang	otak	dan	sumsum	tulang	belakang	2
pada_tulang_belakang_wanita_post-menopause	pada	tulang	belakang	wanita	post-menopause	2
padahal_di_belakang_tak_ada	padahal	di	belakang	tak	ada	2
paling_belakang_akibat_gagal_lolos	paling	belakang	akibat	gagal	lolos	2
parang_yang_tergantung_di_belakang	parang	yang	tergantung	di	belakang	2
pemain_belakang_serta_kiper_dengan	pemain	belakang	serta	kiper	dengan	2
pemain_belakang_tersebut_saat_ini	pemain	belakang	tersebut	saat	ini	2
pemain_belakang_yang_layak_menggantikan	pemain	belakang	yang	layak	menggantikan	2
pembicara_dengan_berbagai_latar_belakang	pembicara	dengan	berbagai	latar	belakang	2
pendapat_yang_terjadi_belakangan_ini	pendapat	yang	terjadi	belakangan	ini	2
pengeras_suara_di_belakang_layar	pengeras	suara	di	belakang	layar	2
penggerak_roda_belakang_dengan_dua	penggerak	roda	belakang	dengan	dua	2
penggunaan_sebidang_tanah_di_belakang	penggunaan	sebidang	tanah	di	belakang	2
pengintai_belakang_sistem_antisipasi_benturan	pengintai	belakang	sistem	antisipasi	benturan	2
perbedaan_pendapat_yang_terjadi_belakangan	perbedaan	pendapat	yang	terjadi	belakangan	2
perempuan_bertolak_belakang_dengan_kondisi	perempuan	bertolak	belakang	dengan	kondisi	2
pertanyaan_mengenai_latar_belakang_pendidikannya	pertanyaan	mengenai	latar	belakang	pendidikannya	2
perubahan_tulang_belakang_dan_bagian	perubahan	tulang	belakang	dan	bagian	2
pilar_utama_di_lini_belakang	pilar	utama	di	lini	belakang	2
posisi_paling_belakang_akibat_gagal	posisi	paling	belakang	akibat	gagal	2
potensi_perempuan_bertolak_belakang_dengan	potensi	perempuan	bertolak	belakang	dengan	2
ras_agama_dan_latar_belakang	ras	agama	dan	latar	belakang	2
roda_belakang_dengan_dua_tempat	roda	belakang	dengan	dua	tempat	2
roda_depan_dan_roda_belakang	roda	depan	dan	roda	belakang	2
samping_dan_belakang_hunian_seluas	samping	dan	belakang	hunian	seluas	2
sejak_beberapa_waktu_belakangan_ini	sejak	beberapa	waktu	belakangan	ini	2
selama_beberapa_tahun_belakangan_ini	selama	beberapa	tahun	belakangan	ini	2
selama_beberapa_waktu_belakangan_ini	selama	beberapa	waktu	belakangan	ini	2
selang_beberapa_tahun_belakangan_ini	selang	beberapa	tahun	belakangan	ini	2
selang_beberapa_waktu_belakangan_ini	selang	beberapa	waktu	belakangan	ini	2
serang_dan_pemain_belakang_tersebut	serang	dan	pemain	belakang	tersebut	2
sidik_jari_di_bagian_belakang	sidik	jari	di	bagian	belakang	2
sumsum_tulang_belakang_ternyata_dapat	sumsum	tulang	belakang	ternyata	dapat	2
tahun_belakangan_hanya_menjadi_pelatih	tahun	belakangan	hanya	menjadi	pelatih	2
tahun_di_belakang_negara-negara_maju	tahun	di	belakang	negara-negara	maju	2
tahun_ke_belakang_menjadi_ukuran	tahun	ke	belakang	menjadi	ukuran	2
tampa_bajual_di_belakang_pasar	tampa	bajual	di	belakang	pasar	2
tampa_bajual_yakni_di_belakang	tampa	bajual	yakni	di	belakang	2
tanah_di_bagian_belakang_rumah	tanah	di	bagian	belakang	rumah	2
tanpa_memandang_latar_belakang_agama	tanpa	memandang	latar	belakang	agama	2
tergantung_di_belakang_kamar_namun	tergantung	di	belakang	kamar	namun	2
terhindar_dari_kebodohan_dan_keterbelakangan	terhindar	dari	kebodohan	dan	keterbelakangan	2
terjadi_karena_perubahan_tulang_belakang	terjadi	karena	perubahan	tulang	belakang	2
tertinggal_hampir_tahun_di_belakang	tertinggal	hampir	tahun	di	belakang	2
terutama_pada_tulang_belakang_wanita	terutama	pada	tulang	belakang	wanita	2
tidak_memiliki_latar_belakang_keilmuan	tidak	memiliki	latar	belakang	keilmuan	2
tiga_pemain_belakang_yang_layak	tiga	pemain	belakang	yang	layak	2
titik_ini_paha_belakang_dijual	titik	ini	paha	belakang	dijual	2
tulang_belakang_dan_bagian_tubuh	tulang	belakang	dan	bagian	tubuh	2
tulang_belakang_di_antara_para	tulang	belakang	di	antara	para	2
tulang_belakang_ternyata_dapat_dipicu	tulang	belakang	ternyata	dapat	dipicu	2
tulang_belakang_wanita_post-menopause_ulasnya	tulang	belakang	wanita	post-menopause	ulasnya	2
tulang_terutama_pada_tulang_belakang	tulang	terutama	pada	tulang	belakang	2
ventilasi_di_samping_dan_belakang	ventilasi	di	samping	dan	belakang	2
wajah_dan_bagian_belakang_kepala	wajah	dan	bagian	belakang	kepala	2
yang_ada_di_bagian_belakang	yang	ada	di	bagian	belakang	2
yang_ada_di_belakang_rumahnya	yang	ada	di	belakang	rumahnya	2
yang_belakangan_melonjak_kembali_turun	yang	belakangan	melonjak	kembali	turun	2
yang_berada_di_belakang_eks	yang	berada	di	belakang	eks	2
yang_berada_di_belakang_layar	yang	berada	di	belakang	layar	2
yang_berada_tepat_di_belakang	yang	berada	tepat	di	belakang	2
yang_berasal_dari_latar_belakang	yang	berasal	dari	latar	belakang	2
yang_berlokasi_di_belakang_kantor	yang	berlokasi	di	belakang	kantor	2
yang_dua_tahun_belakangan_hanya	yang	dua	tahun	belakangan	hanya	2
yang_kian_marak_belakangan_ini	yang	kian	marak	belakangan	ini	2
yang_sangat_bertolak_belakang_dengan	yang	sangat	bertolak	belakang	dengan	2
yang_tergantung_di_belakang_kamar	yang	tergantung	di	belakang	kamar	2
yang_terjadi_belakangan_ini_di	yang	terjadi	belakangan	ini	di	2
1080p_kamera_belakang_13MP_dengan	1080p	kamera	belakang	13MP	dengan	1
12MP_dan_kamera_belakang_8MP	12MP	dan	kamera	belakang	8MP	1
2016Apakah_latar_belakang_moratorium_ujian	2016Apakah	latar	belakang	moratorium	ujian	1
2MP_dan_belakang_5MP_yang	2MP	dan	belakang	5MP	yang	1
3x2_cm_dan_bagian_belakang	3x2	cm	dan	bagian	belakang	1
4c_akan_ditemui_kamera_belakang	4c	akan	ditemui	kamera	belakang	1
70-an_film_berlatar_belakang_90-an	70-an	film	berlatar	belakang	90-an	1
abrasi_pantai_yang_belakangan_terus	abrasi	pantai	yang	belakangan	terus	1
absennya_dua_pilar_lini_belakang	absennya	dua	pilar	lini	belakang	1
acara_pun_mundur_ke_belakang	acara	pun	mundur	ke	belakang	1
acara_tersebut_di_belakang_panggung	acara	tersebut	di	belakang	panggung	1
achilles_terletak_di_bagian_belakang	achilles	terletak	di	bagian	belakang	1
ada_aktor_politik_di_belakangnya	ada	aktor	politik	di	belakangnya	1
ada_apa_di_belakang_saya	ada	apa	di	belakang	saya	1
ada_banyak_persoalan_yang_melatarbelakangi	ada	banyak	persoalan	yang	melatarbelakangi	1
ada_batu_menghantam_dinding_belakang	ada	batu	menghantam	dinding	belakang	1
ada_di_bagian_belakang_kantor	ada	di	bagian	belakang	kantor	1
ada_di_bagian_belakang_supermarket	ada	di	bagian	belakang	supermarket	1
ada_di_belakang_kawasan_tersebut	ada	di	belakang	kawasan	tersebut	1
ada_di_belakang_kendaran_pribadi	ada	di	belakang	kendaran	pribadi	1
ada_di_belakang_memastikan_bahwa	ada	di	belakang	memastikan	bahwa	1
ada_di_belakang_panggung_bersama	ada	di	belakang	panggung	bersama	1
ada_di_belakang_perkampungan_warga	ada	di	belakang	perkampungan	warga	1
ada_di_belakang_voucher_ke	ada	di	belakang	voucher	ke	1
ada_di_belakang-nya_jelas_walikota	ada	di	belakang-nya	jelas	walikota	1
ada_di_belakangnya_sebagai_cadangan	ada	di	belakangnya	sebagai	cadangan	1
ada_di_belakangnya_untuk_menuntut	ada	di	belakangnya	untuk	menuntut	1
ada_di_pedesaan_belakangan_justru	ada	di	pedesaan	belakangan	justru	1
ada_di-pindahkan_ke_belakang_tidak	ada	di-pindahkan	ke	belakang	tidak	1
ada_elit_politik_di_belakang	ada	elit	politik	di	belakang	1
ada_gambar_lain_di_belakang	ada	gambar	lain	di	belakang	1
ada_hubungannya_dengan_latar_belakang	ada	hubungannya	dengan	latar	belakang	1
ada_hutan_baru_di_belakang	ada	hutan	baru	di	belakang	1
ada_informasi_apa_latar_belakang	ada	informasi	apa	latar	belakang	1
ada_intrik_di_belakang_layar	ada	intrik	di	belakang	layar	1
ada_jaringan_di_belakang_aksi	ada	jaringan	di	belakang	aksi	1
ada_juga_di_kompleks_belakang	ada	juga	di	kompleks	belakang	1
ada_kekuatan_modal_di_belakangnya	ada	kekuatan	modal	di	belakangnya	1
ada_laporan_absensiasi_menurun_belakangan	ada	laporan	absensiasi	menurun	belakangan	1
ada_latar_belakang_pebisnis_sama	ada	latar	belakang	pebisnis	sama	1
ada_lelaki_di_belakang_saya	ada	lelaki	di	belakang	saya	1
ada_masalah_besar_di_belakang	ada	masalah	besar	di	belakang	1
ada_nilai_materi_di_belakangnya	ada	nilai	materi	di	belakangnya	1
ada_penyesalan_di_belakang_hari	ada	penyesalan	di	belakang	hari	1
ada_perubahan_tokoh_latar_belakang	ada	perubahan	tokoh	latar	belakang	1
ada_satupun_pasal_yang_bertolak-belakang	ada	satupun	pasal	yang	bertolak-belakang	1
ada_tamu_yang_datang_belakangan	ada	tamu	yang	datang	belakangan	1
ada_yang_ditinju_dari_belakang	ada	yang	ditinju	dari	belakang	1
ada_yang_me-ngejar_dari_belakang	ada	yang	me-ngejar	dari	belakang	1
ada_yang_mem-bantu_di_belakang	ada	yang	mem-bantu	di	belakang	1
ada_yang_membantu_di_belakang	ada	yang	membantu	di	belakang	1
adalah_dari_pos_lini_belakang	adalah	dari	pos	lini	belakang	1
adalah_gol_ketiga_pemain_belakang	adalah	gol	ketiga	pemain	belakang	1
adalah_kepo-nakan_latar_belakang_kerabat	adalah	kepo-nakan	latar	belakang	kerabat	1
adalah_ketelodoran_dari_pemain_belakang	adalah	ketelodoran	dari	pemain	belakang	1
adalah_koperasi_dengan_latar_belakang	adalah	koperasi	dengan	latar	belakang	1
adalah_lampu_posisi_bagian_belakang	adalah	lampu	posisi	bagian	belakang	1
adalah_latar_belakang_sosial_dari	adalah	latar	belakang	sosial	dari	1
adalah_memperbaiki_lini_belakang_katanya	adalah	memperbaiki	lini	belakang	katanya	1
adalah_mengikuti_korban_dari_belakang	adalah	mengikuti	korban	dari	belakang	1
adalah_pintu_penumpang_belakang_yang	adalah	pintu	penumpang	belakang	yang	1
adalah_soal_latar_belakang_keyakinan	adalah	soal	latar	belakang	keyakinan	1
adanya_isu_yang_berkembang_belakangan	adanya	isu	yang	berkembang	belakangan	1
adanya_kemajuan_pembangunan_belakangan_ini	adanya	kemajuan	pembangunan	belakangan	ini	1
adapun_jalan_yang_ditempuh_belakangan	adapun	jalan	yang	ditempuh	belakangan	1
adiktif_belakangan_ini_membuat_user	adiktif	belakangan	ini	membuat	user	1
agak_ketutup_dalam_minggu_belakangan	agak	ketutup	dalam	minggu	belakangan	1
agak_turun_ke_belakang_membantu	agak	turun	ke	belakang	membantu	1
agama_belakangan_ini_di_sejumlah	agama	belakangan	ini	di	sejumlah	1
agama_belakangan_ini_mengundang_keprihatinan	agama	belakangan	ini	mengundang	keprihatinan	1
agama_dan_latar_belakang_kehidupan	agama	dan	latar	belakang	kehidupan	1
agama_dengan_latar_belakang_sekolah	agama	dengan	latar	belakang	sekolah	1
agar_berada_di_belakang_posisi	agar	berada	di	belakang	posisi	1
agar_pengendara_di_belakang_juga	agar	pengendara	di	belakang	juga	1
agar_tulang_belakang_kembali_imbang	agar	tulang	belakang	kembali	imbang	1
agrowisata_yang_sedang_tren_belakangan	agrowisata	yang	sedang	tren	belakangan	1
ahli_bedah_spesialis_tulang_belakang	ahli	bedah	spesialis	tulang	belakang	1
ahli_dari_berbagai_latar_belakang	ahli	dari	berbagai	latar	belakang	1
ahli_metalurgi_yang_latar_belakangnya	ahli	metalurgi	yang	latar	belakangnya	1
ahlinya_di_tahun-tahun_belakangan_ini	ahlinya	di	tahun-tahun	belakangan	ini	1
air_belakangan_ini_kian_menanjak	air	belakangan	ini	kian	menanjak	1
air_belakangan_kebutuhan_air_semakin	air	belakangan	kebutuhan	air	semakin	1
air_dari_belakang_kami_hingga	air	dari	belakang	kami	hingga	1
air_dengan_latar_belakang_birunya	air	dengan	latar	belakang	birunya	1
air_di_area_persawahan_belakang	air	di	area	persawahan	belakang	1
air_di_belakang_safety_car	air	di	belakang	safety	car	1
air_ke_dalam_bagian_belakang	air	ke	dalam	bagian	belakang	1
air_laut_yang_tinggi_belakangan	air	laut	yang	tinggi	belakangan	1
aja_lini_belakang_sedikit_pincang	aja	lini	belakang	sedikit	pincang	1
ajaran_yang_bertolak_belakang_dengan	ajaran	yang	bertolak	belakang	dengan	1
ajudannya_yang_duduk_di_belakang	ajudannya	yang	duduk	di	belakang	1
akal_bila_belakangan_mengacu_temuan	akal	bila	belakangan	mengacu	temuan	1
akan_ada_penyesalan_di_belakang	akan	ada	penyesalan	di	belakang	1
akan_berada_di_belakang_kereta	akan	berada	di	belakang	kereta	1
akan_berada_di_belakang_layar	akan	berada	di	belakang	layar	1
akan_berdiri_di_belakang_aspirasi	akan	berdiri	di	belakang	aspirasi	1
akan_bertolak_belakang_dengan_bestek	akan	bertolak	belakang	dengan	bestek	1
akan_bertolak_belakang_dengan_janji	akan	bertolak	belakang	dengan	janji	1
