ngram	w1	w2	n
masalah_waktu	masalah	waktu	31
saya_waktu	saya	waktu	31
waktu_ini	waktu	ini	31
waktu_lagi	waktu	lagi	31
waktu_saja	waktu	saja	31
waktu_tujuh	waktu	tujuh	31
waktu_libur	waktu	libur	30
cukup_waktu	cukup	waktu	28
membagi_waktu	membagi	waktu	28
tambahan_waktu	tambahan	waktu	28
bom_waktu	bom	waktu	27
mencatatkan_waktu	mencatatkan	waktu	27
perjalanan_waktu	perjalanan	waktu	27
waktu_dari	waktu	dari	27
itu_waktu	itu	waktu	26
kapan_waktu	kapan	waktu	26
memberi_waktu	memberi	waktu	26
satu_waktu	satu	waktu	26
suatu_waktu	suatu	waktu	26
tenggang_waktu	tenggang	waktu	26
waktu_atau	waktu	atau	26
mencatat_waktu	mencatat	waktu	25
sedikit_waktu	sedikit	waktu	25
waktu_bermain	waktu	bermain	25
waktu_malam	waktu	malam	25
menghemat_waktu	menghemat	waktu	24
menyita_waktu	menyita	waktu	24
sampai_waktu	sampai	waktu	24
waktu_akan	waktu	akan	24
waktu_mereka	waktu	mereka	24
lain_waktu	lain	waktu	23
minta_waktu	minta	waktu	23
waktu_hanya	waktu	hanya	23
waktu_mendatang	waktu	mendatang	23
waktu_pendaftaran	waktu	pendaftaran	23
waktu_sebulan	waktu	sebulan	23
waktu_tunggu	waktu	tunggu	23
ketepatan_waktu	ketepatan	waktu	22
lama_waktu	lama	waktu	22
menjadi_waktu	menjadi	waktu	22
seiring_waktu	seiring	waktu	22
waktu_kita	waktu	kita	22
waktu_pada	waktu	pada	22
waktu_persiapan	waktu	persiapan	22
waktu_relatif	waktu	relatif	22
waktu_shalat	waktu	shalat	22
waktu_sudah	waktu	sudah	22
waktu_tidur	waktu	tidur	22
batasan_waktu	batasan	waktu	21
ini_waktu	ini	waktu	21
keterbatasan_waktu	keterbatasan	waktu	21
seperti_waktu	seperti	waktu	21
waktu_berbuka	waktu	berbuka	21
waktu_setelah	waktu	setelah	21
mengulur_waktu	mengulur	waktu	20
saat_waktu	saat	waktu	20
sesuai_waktu	sesuai	waktu	20
waktu_agar	waktu	agar	20
waktu_kami	waktu	kami	20
waktu_kerja	waktu	kerja	20
waktu_setahun	waktu	setahun	20
waktu_tak	waktu	tak	20
mengatur_waktu	mengatur	waktu	19
mengulur-ulur_waktu	mengulur-ulur	waktu	19
siang_waktu	siang	waktu	19
waktu_cepat	waktu	cepat	19
waktu_para	waktu	para	19
waktu_sebelumnya	waktu	sebelumnya	19
waktu_silam	waktu	silam	19
durasi_waktu	durasi	waktu	18
mencari_waktu	mencari	waktu	18
saja_waktu	saja	waktu	18
selang_waktu	selang	waktu	18
waktu_belajar	waktu	belajar	18
waktu_berjalan	waktu	berjalan	18
waktu_sebelum	waktu	sebelum	18
antar_waktu	antar	waktu	17
bebera-pa_waktu	bebera-pa	waktu	17
hari_waktu	hari	waktu	17
makan_waktu	makan	waktu	17
paruh_waktu	paruh	waktu	17
selisih_waktu	selisih	waktu	17
waktu_hampir	waktu	hampir	17
waktu_pertandingan	waktu	pertandingan	17
waktu_seminggu	waktu	seminggu	17
waktu_senggang	waktu	senggang	17
waktu_ujar	waktu	ujar	17
atau_waktu	atau	waktu	16
buang_waktu	buang	waktu	16
ketika_waktu	ketika	waktu	16
membuang_waktu	membuang	waktu	16
menikmati_waktu	menikmati	waktu	16
menyediakan_waktu	menyediakan	waktu	16
sore_waktu	sore	waktu	16
waktu_kemudian	waktu	kemudian	16
waktu_makan	waktu	makan	16
waktu_pelaksanaannya	waktu	pelaksanaannya	16
kehilangan_waktu	kehilangan	waktu	15
limit_waktu	limit	waktu	15
maka_waktu	maka	waktu	15
mempunyai_waktu	mempunyai	waktu	15
mengejar_waktu	mengejar	waktu	15
waktu_bisa	waktu	bisa	15
waktu_liburan	waktu	liburan	15
waktu_tersisa	waktu	tersisa	15
waktu_terus	waktu	terus	15
bukan_waktu	bukan	waktu	14
jika_waktu	jika	waktu	14
menggunakan_waktu	menggunakan	waktu	14
mengurangi_waktu	mengurangi	waktu	14
waktu_latihan	waktu	latihan	14
waktu_saat	waktu	saat	14
waktu_sehingga	waktu	sehingga	14
waktu_sepuluh	waktu	sepuluh	14
waktu_setengah	waktu	setengah	14
waktu_tenaga	waktu	tenaga	14
diperlukan_waktu	diperlukan	waktu	13
jeda_waktu	jeda	waktu	13
juga_waktu	juga	waktu	13
kepastian_waktu	kepastian	waktu	13
menempuh_waktu	menempuh	waktu	13
mengatakan_waktu	mengatakan	waktu	13
mengenal_waktu	mengenal	waktu	13
menyempatkan_waktu	menyempatkan	waktu	13
mepetnya_waktu	mepetnya	waktu	13
sehingga_waktu	sehingga	waktu	13
setelah_waktu	setelah	waktu	13
waktu_dia	waktu	dia	13
waktu_khusus	waktu	khusus	13
waktu_maksimal	waktu	maksimal	13
waktu_penyelesaian	waktu	penyelesaian	13
waktu_perjalanan	waktu	perjalanan	13
waktu_salat	waktu	salat	13
waktu_tapi	waktu	tapi	13
waktu_ujarnya	waktu	ujarnya	13
bahwa_waktu	bahwa	waktu	12
memangkas_waktu	memangkas	waktu	12
mengingat_waktu	mengingat	waktu	12
mengorbankan_waktu	mengorbankan	waktu	12
menit_waktu	menit	waktu	12
menjelang_waktu	menjelang	waktu	12
perbedaan_waktu	perbedaan	waktu	12
target_waktu	target	waktu	12
total_waktu	total	waktu	12
waktu_banyak	waktu	banyak	12
waktu_berbulan-bulan	waktu	berbulan-bulan	12
waktu_bertahun-tahun	waktu	bertahun-tahun	12
waktu_juga	waktu	juga	12
waktu_sepekan	waktu	sepekan	12
waktu_serta	waktu	serta	12
deadline_waktu	deadline	waktu	11
dulu_waktu	dulu	waktu	11
efisiensi_waktu	efisiensi	waktu	11
jadi_waktu	jadi	waktu	11
membuang-buang_waktu	membuang-buang	waktu	11
mengenai_waktu	mengenai	waktu	11
tapi_waktu	tapi	waktu	11
terkait_waktu	terkait	waktu	11
tunggu_waktu	tunggu	waktu	11
waktu_ada	waktu	ada	11
waktu_berjam-jam	waktu	berjam-jam	11
waktu_delapan	waktu	delapan	11
waktu_katanya	waktu	katanya	11
waktu_kecil	waktu	kecil	11
waktu_maka	waktu	maka	11
waktu_pemasukan	waktu	pemasukan	11
waktu_penyelenggaraan	waktu	penyelenggaraan	11
waktu_tinggal	waktu	tinggal	11
kami_waktu	kami	waktu	10
korupsi_waktu	korupsi	waktu	10
mana_waktu	mana	waktu	10
masa_waktu	masa	waktu	10
mem-butuhkan_waktu	mem-butuhkan	waktu	10
membu-tuhkan_waktu	membu-tuhkan	waktu	10
membuat_waktu	membuat	waktu	10
menyisakan_waktu	menyisakan	waktu	10
periode_waktu	periode	waktu	10
waktu_ia	waktu	ia	10
waktu_kampanye	waktu	kampanye	10
waktu_keberangkatan	waktu	keberangkatan	10
waktu_kejadian	waktu	kejadian	10
waktu_lawan	waktu	lawan	10
waktu_menjadi	waktu	menjadi	10
waktu_minggu	waktu	minggu	10
waktu_minimal	waktu	minimal	10
waktu_pelantikan	waktu	pelantikan	10
waktu_seperti	waktu	seperti	10
waktu_sesuai	waktu	sesuai	10
waktu_subuh	waktu	subuh	10
waktu_tambahan	waktu	tambahan	10
berikan_waktu	berikan	waktu	9
disiplin_waktu	disiplin	waktu	9
hemat_waktu	hemat	waktu	9
ingat_waktu	ingat	waktu	9
lalu_waktu	lalu	waktu	9
luar_waktu	luar	waktu	9
me-makan_waktu	me-makan	waktu	9
memperpanjang_waktu	memperpanjang	waktu	9
sebagai_waktu	sebagai	waktu	9
tengat_waktu	tengat	waktu	9
waktu_berbeda	waktu	berbeda	9
waktu_namun	waktu	namun	9
waktu_pagi	waktu	pagi	9
waktu_pembayaran	waktu	pembayaran	9
waktu_pemilihan	waktu	pemilihan	9
waktu_penerbangan	waktu	penerbangan	9
waktu_pengerjaan	waktu	pengerjaan	9
waktu_sekejap	waktu	sekejap	9
waktu_semakin	waktu	semakin	9
waktu_sembilan	waktu	sembilan	9
berjangka_waktu	berjangka	waktu	8
gunakan_waktu	gunakan	waktu	8
kalau_waktu	kalau	waktu	8
kerangka_waktu	kerangka	waktu	8
lamanya_waktu	lamanya	waktu	8
memastikan_waktu	memastikan	waktu	8
mempersingkat_waktu	mempersingkat	waktu	8
mengambil_waktu	mengambil	waktu	8
menyiapkan_waktu	menyiapkan	waktu	8
padahal_waktu	padahal	waktu	8
tentang_waktu	tentang	waktu	8
tiba_waktu	tiba	waktu	8
waktu_babak	waktu	babak	8
waktu_kapan	waktu	kapan	8
waktu_membuat	waktu	membuat	8
waktu_menunggu	waktu	menunggu	8
waktu_pemeriksaan	waktu	pemeriksaan	8
waktu_pemulihan	waktu	pemulihan	8
waktu_pengiriman	waktu	pengiriman	8
waktu_pengurusan	waktu	pengurusan	8
waktu_pulang	waktu	pulang	8
waktu_sangat	waktu	sangat	8
waktu_sehari	waktu	sehari	8
waktu_sejenak	waktu	sejenak	8
waktu_tanpa	waktu	tanpa	8
akhir_waktu	akhir	waktu	7
dikejar_waktu	dikejar	waktu	7
inilah_waktu	inilah	waktu	7
kita_waktu	kita	waktu	7
lagi_waktu	lagi	waktu	7
lewat_waktu	lewat	waktu	7
luangkan_waktu	luangkan	waktu	7
maupun_waktu	maupun	waktu	7
me-nunggu_waktu	me-nunggu	waktu	7
membukukan_waktu	membukukan	waktu	7
memilih_waktu	memilih	waktu	7
mempergunakan_waktu	mempergunakan	waktu	7
mendapatkan_waktu	mendapatkan	waktu	7
mendekati_waktu	mendekati	waktu	7
menentukan_waktu	menentukan	waktu	7
menyisihkan_waktu	menyisihkan	waktu	7
meski_waktu	meski	waktu	7
meskipun_waktu	meskipun	waktu	7
oleh_waktu	oleh	waktu	7
selama_waktu	selama	waktu	7
toleransi_waktu	toleransi	waktu	7
waktu_adalah	waktu	adalah	7
waktu_anak	waktu	anak	7
waktu_berdekatan	waktu	berdekatan	7
waktu_bongkar	waktu	bongkar	7
waktu_kalau	waktu	kalau	7
waktu_kedatangan	waktu	kedatangan	7
waktu_luangnya	waktu	luangnya	7
waktu_pencairan	waktu	pencairan	7
waktu_penutupan	waktu	penutupan	7
waktu_penyerahan	waktu	penyerahan	7
waktu_pertama	waktu	pertama	7
waktu_pilkada	waktu	pilkada	7
waktu_sahur	waktu	sahur	7
waktu_sebab	waktu	sebab	7
waktu_secara	waktu	secara	7
waktu_tepat	waktu	tepat	7
buang-buang_waktu	buang-buang	waktu	6
dinihari_waktu	dinihari	waktu	6
jam_waktu	jam	waktu	6
jumlah_waktu	jumlah	waktu	6
kenal_waktu	kenal	waktu	6
kurangnya_waktu	kurangnya	waktu	6
manfaatkan_waktu	manfaatkan	waktu	6
mema-kan_waktu	mema-kan	waktu	6
memasuki_waktu	memasuki	waktu	6
mereka_waktu	mereka	waktu	6
minimnya_waktu	minimnya	waktu	6
sama_waktu	sama	waktu	6
sekali_waktu	sekali	waktu	6
tahun_waktu	tahun	waktu	6
waktu_akhir	waktu	akhir	6
waktu_awal	waktu	awal	6
waktu_belum	waktu	belum	6
waktu_berkumpul	waktu	berkumpul	6
waktu_berlalu	waktu	berlalu	6
waktu_dapat	waktu	dapat	6
waktu_jadi	waktu	jadi	6
waktu_jumlah	waktu	jumlah	6
waktu_lamanya	waktu	lamanya	6
waktu_masa	waktu	masa	6
waktu_menunjukkan	waktu	menunjukkan	6
waktu_pelunasan	waktu	pelunasan	6
waktu_pembahasan	waktu	pembahasan	6
waktu_pengajuan	waktu	pengajuan	6
waktu_pengumuman	waktu	pengumuman	6
waktu_penyaluran	waktu	penyaluran	6
waktu_proses	waktu	proses	6
waktu_sebagai	waktu	sebagai	6
waktu_sekarang	waktu	sekarang	6
waktu_siang	waktu	siang	6
waktu_terang	waktu	terang	6
waktu_terbang	waktu	terbang	6
waktu_ujian	waktu	ujian	6
ba-tas_waktu	ba-tas	waktu	5
berdasarkan_waktu	berdasarkan	waktu	5
bila_waktu	bila	waktu	5
bukanlah_waktu	bukanlah	waktu	5
dimana_waktu	dimana	waktu	5
fleksibilitas_waktu	fleksibilitas	waktu	5
habiskan_waktu	habiskan	waktu	5
hanya_waktu	hanya	waktu	5
interval_waktu	interval	waktu	5
jatah_waktu	jatah	waktu	5
jelang_waktu	jelang	waktu	5
katanya_waktu	katanya	waktu	5
kecepatan_waktu	kecepatan	waktu	5
kelonggaran_waktu	kelonggaran	waktu	5
kemarin_waktu	kemarin	waktu	5
melewati_waktu	melewati	waktu	5
melihat_waktu	melihat	waktu	5
meman-faatkan_waktu	meman-faatkan	waktu	5
mempercepat_waktu	mempercepat	waktu	5
mengelola_waktu	mengelola	waktu	5
menghargai_waktu	menghargai	waktu	5
menung-gu_waktu	menung-gu	waktu	5
menyesuaikan_waktu	menyesuaikan	waktu	5
meraih_waktu	meraih	waktu	5
nanti_waktu	nanti	waktu	5
penambahan_waktu	penambahan	waktu	5
perolehan_waktu	perolehan	waktu	5
perubahan_waktu	perubahan	waktu	5
sebab_waktu	sebab	waktu	5
segi_waktu	segi	waktu	5
sekitar_waktu	sekitar	waktu	5
semen-tara_waktu	semen-tara	waktu	5
tenaga_waktu	tenaga	waktu	5
teng-gang_waktu	teng-gang	waktu	5
torehan_waktu	torehan	waktu	5
waktu_akhirnya	waktu	akhirnya	5
waktu_buat	waktu	buat	5
waktu_demi	waktu	demi	5
waktu_efektif	waktu	efektif	5
waktu_guna	waktu	guna	5
waktu_jelas	waktu	jelas	5
waktu_ketika	waktu	ketika	5
waktu_kunjungan	waktu	kunjungan	5
waktu_lain	waktu	lain	5
waktu_lap	waktu	lap	5
waktu_layanan	waktu	layanan	5
waktu_liburnya	waktu	liburnya	5
waktu_mau	waktu	mau	5
waktu_membaca	waktu	membaca	5
waktu_menuju	waktu	menuju	5
waktu_operasi	waktu	operasi	5
waktu_pekan	waktu	pekan	5
waktu_pelayanan	waktu	pelayanan	5
waktu_pendek	waktu	pendek	5
waktu_penetapan	waktu	penetapan	5
waktu_pengambilan	waktu	pengambilan	5
waktu_pengembalian	waktu	pengembalian	5
waktu_penilaian	waktu	penilaian	5
waktu_pertemuan	waktu	pertemuan	5
waktu_produksi	waktu	produksi	5
waktu_sambil	waktu	sambil	5
waktu_se-tempat	waktu	se-tempat	5
waktu_sebentar	waktu	sebentar	5
waktu_secepatnya	waktu	secepatnya	5
waktu_sedikitnya	waktu	sedikitnya	5
waktu_setidaknya	waktu	setidaknya	5
waktu_sholat	waktu	sholat	5
waktu_sisa	waktu	sisa	5
waktu_sore	waktu	sore	5
waktu_telah	waktu	telah	5
waktu_ucapnya	waktu	ucapnya	5
waktu_unjuk	waktu	unjuk	5
waktu_warga	waktu	warga	5
waktu_yakni	waktu	yakni	5
zona_waktu	zona	waktu	5
alokasi_waktu	alokasi	waktu	4
antara_waktu	antara	waktu	4
awal_waktu	awal	waktu	4
bagi_waktu	bagi	waktu	4
berapa_waktu	berapa	waktu	4
dua_waktu	dua	waktu	4
estimasi_waktu	estimasi	waktu	4
hitungan_waktu	hitungan	waktu	4
jarak_waktu	jarak	waktu	4
kaget_waktu	kaget	waktu	4
kasih_waktu	kasih	waktu	4
kehabisan_waktu	kehabisan	waktu	4
ku-run_waktu	ku-run	waktu	4
lupa_waktu	lupa	waktu	4
manajemen_waktu	manajemen	waktu	4
masuk_waktu	masuk	waktu	4
melalui_waktu	melalui	waktu	4
membatasi_waktu	membatasi	waktu	4
mencuri_waktu	mencuri	waktu	4
menelan_waktu	menelan	waktu	4
menetapkan_waktu	menetapkan	waktu	4
mengetahui_waktu	mengetahui	waktu	4
mengganggu_waktu	mengganggu	waktu	4
menghitung_waktu	menghitung	waktu	4
menunda_waktu	menunda	waktu	4
menunjukkan_waktu	menunjukkan	waktu	4
menyia-nyiakan_waktu	menyia-nyiakan	waktu	4
mepet_waktu	mepet	waktu	4
pa-da_waktu	pa-da	waktu	4
penetapan_waktu	penetapan	waktu	4
penuh_waktu	penuh	waktu	4
penunjuk_waktu	penunjuk	waktu	4
pergantian_waktu	pergantian	waktu	4
pertimbangan_waktu	pertimbangan	waktu	4
pilihan_waktu	pilihan	waktu	4
pilkada_waktu	pilkada	waktu	4
rentan_waktu	rentan	waktu	4
sekarang_waktu	sekarang	waktu	4
sendiri_waktu	sendiri	waktu	4
serta_waktu	serta	waktu	4
singkatnya_waktu	singkatnya	waktu	4
standar_waktu	standar	waktu	4
tahu_waktu	tahu	waktu	4
te-pat_waktu	te-pat	waktu	4
terhadap_waktu	terhadap	waktu	4
terjadi_waktu	terjadi	waktu	4
termasuk_waktu	termasuk	waktu	4
waktu_acara	waktu	acara	4
waktu_aku	waktu	aku	4
waktu_bahkan	waktu	bahkan	4
waktu_baru	waktu	baru	4
waktu_bekerja	waktu	bekerja	4
waktu_berada	waktu	berada	4
waktu_berikutnya	waktu	berikutnya	4
waktu_berminggu-minggu	waktu	berminggu-minggu	4
waktu_bersih	waktu	bersih	4
waktu_bertemu	waktu	bertemu	4
waktu_buka	waktu	buka	4
waktu_dirinya	waktu	dirinya	4
waktu_dulu	waktu	dulu	4
waktu_hujan	waktu	hujan	4
waktu_ideal	waktu	ideal	4
waktu_jelasnya	waktu	jelasnya	4
waktu_jika	waktu	jika	4
waktu_kredit	waktu	kredit	4
waktu_kuliah	waktu	kuliah	4
waktu_la-lu	waktu	la-lu	4
waktu_lembur	waktu	lembur	4
waktu_maghrib	waktu	maghrib	4
waktu_mandi	waktu	mandi	4
waktu_melihat	waktu	melihat	4
waktu_melontar	waktu	melontar	4
waktu_mengajak	waktu	mengajak	4
waktu_mengikuti	waktu	mengikuti	4
waktu_mulai	waktu	mulai	4
waktu_nanti	waktu	nanti	4
waktu_orang	waktu	orang	4
waktu_panen	waktu	panen	4
waktu_pasti	waktu	pasti	4
waktu_pelak-sanaan	waktu	pelak-sanaan	4
waktu_pelaksana-annya	waktu	pelaksana-annya	4
waktu_peluncuran	waktu	peluncuran	4
waktu_pemakaian	waktu	pemakaian	4
waktu_pembangunan	waktu	pembangunan	4
waktu_pemberian	waktu	pemberian	4
waktu_pembuatan	waktu	pembuatan	4
waktu_penerapan	waktu	penerapan	4
waktu_penerimaan	waktu	penerimaan	4
waktu_pengecekan	waktu	pengecekan	4
waktu_pengerjaannya	waktu	pengerjaannya	4
waktu_perekaman	waktu	perekaman	4
waktu_pergi	waktu	pergi	4
waktu_perut	waktu	perut	4
waktu_rata-rata	waktu	rata-rata	4
waktu_santai	waktu	santai	4
waktu_sedikit	waktu	sedikit	4
waktu_seharian	waktu	seharian	4
waktu_seleksi	waktu	seleksi	4
waktu_sendiri	waktu	sendiri	4
waktu_sewa	waktu	sewa	4
waktu_tempuhnya	waktu	tempuhnya	4
waktu_ter-tentu	waktu	ter-tentu	4
waktu_terbatas	waktu	terbatas	4
waktu_terhadap	waktu	terhadap	4
waktu_terjadi	waktu	terjadi	4
waktu_tetap	waktu	tetap	4
waktu_tetapi	waktu	tetapi	4
waktu_tiba	waktu	tiba	4
waktu_transaksi	waktu	transaksi	4
waktu_tuturnya	waktu	tuturnya	4
waktu_ungkap	waktu	ungkap	4
waktu_yaitu	waktu	yaitu	4
yakni_waktu	yakni	waktu	4
adanya_waktu	adanya	waktu	3
agar_waktu	agar	waktu	3
ambil_waktu	ambil	waktu	3
apakah_waktu	apakah	waktu	3
apalagi_waktu	apalagi	waktu	3
baik_waktu	baik	waktu	3
banyaknya_waktu	banyaknya	waktu	3
beberpa_waktu	beberpa	waktu	3
berharap_waktu	berharap	waktu	3
beri_waktu	beri	waktu	3
berjalan_waktu	berjalan	waktu	3
berselang_waktu	berselang	waktu	3
besar_waktu	besar	waktu	3
biaya_waktu	biaya	waktu	3
bilang_waktu	bilang	waktu	3
bukti_waktu	bukti	waktu	3
cuma_waktu	cuma	waktu	3
dana_waktu	dana	waktu	3
de-ngan_waktu	de-ngan	waktu	3
destinasi_waktu	destinasi	waktu	3
dibandingkan_waktu	dibandingkan	waktu	3
dibatasi_waktu	dibatasi	waktu	3
dicari_waktu	dicari	waktu	3
dimakan_waktu	dimakan	waktu	3
efesiensi_waktu	efesiensi	waktu	3
energi_waktu	energi	waktu	3
faktor_waktu	faktor	waktu	3
ialah_waktu	ialah	waktu	3
ikut_waktu	ikut	waktu	3
isi_waktu	isi	waktu	3
jelas_waktu	jelas	waktu	3
kampanye_waktu	kampanye	waktu	3
kan_waktu	kan	waktu	3
kejadian_waktu	kejadian	waktu	3
kekurangan_waktu	kekurangan	waktu	3
kesiapan_waktu	kesiapan	waktu	3
keterlambatan_waktu	keterlambatan	waktu	3
kondisi_waktu	kondisi	waktu	3
kualitas_waktu	kualitas	waktu	3
kuota_waktu	kuota	waktu	3
legislatif_waktu	legislatif	waktu	3
lorong_waktu	lorong	waktu	3
me-minta_waktu	me-minta	waktu	3
melewatkan_waktu	melewatkan	waktu	3
mem-berikan_waktu	mem-berikan	waktu	3
memang_waktu	memang	waktu	3
memperhitungkan_waktu	memperhitungkan	waktu	3
menawarkan_waktu	menawarkan	waktu	3
mencapai_waktu	mencapai	waktu	3
mencetak_waktu	mencetak	waktu	3
mencurahkan_waktu	mencurahkan	waktu	3
meng-habiskan_waktu	meng-habiskan	waktu	3
meng-ingat_waktu	meng-ingat	waktu	3
mengajar_waktu	mengajar	waktu	3
mengaku_waktu	mengaku	waktu	3
mengalihkan_waktu	mengalihkan	waktu	3
mengingatkan_waktu	mengingatkan	waktu	3
mengubah_waktu	mengubah	waktu	3
menilai_waktu	menilai	waktu	3
menjadwalkan_waktu	menjadwalkan	waktu	3
menjelaskan_waktu	menjelaskan	waktu	3
menorehkan_waktu	menorehkan	waktu	3
menyebutkan_waktu	menyebutkan	waktu	3
mesin_waktu	mesin	waktu	3
muda_waktu	muda	waktu	3
pengisi_waktu	pengisi	waktu	3
penyesuaian_waktu	penyesuaian	waktu	3
perkiraan_waktu	perkiraan	waktu	3
pertandingan_waktu	pertandingan	waktu	3
petang_waktu	petang	waktu	3
ruang_waktu	ruang	waktu	3
secara_waktu	secara	waktu	3
sedangkan_waktu	sedangkan	waktu	3
sejak_waktu	sejak	waktu	3
sekian_waktu	sekian	waktu	3
sela_waktu	sela	waktu	3
seluruh_waktu	seluruh	waktu	3
semua_waktu	semua	waktu	3
sisi_waktu	sisi	waktu	3
siswa_waktu	siswa	waktu	3
skala_waktu	skala	waktu	3
tandasnya_waktu	tandasnya	waktu	3
tegasnya_waktu	tegasnya	waktu	3
tengah_waktu	tengah	waktu	3
terasa_waktu	terasa	waktu	3
terbatas_waktu	terbatas	waktu	3
terkendala_waktu	terkendala	waktu	3
waktu_aksi	waktu	aksi	3
waktu_bahwa	waktu	bahwa	3
waktu_belaka-ngan	waktu	belaka-ngan	3
waktu_berhari-hari	waktu	berhari-hari	3
waktu_berlaga	waktu	berlaga	3
waktu_berlibur	waktu	berlibur	3
waktu_bersa-maan	waktu	bersa-maan	3
waktu_buang	waktu	buang	3
waktu_bukan	waktu	bukan	3
waktu_dana	waktu	dana	3
waktu_dihentikan	waktu	dihentikan	3
waktu_dimana	waktu	dimana	3
waktu_distribusi	waktu	distribusi	3
waktu_ditentukan	waktu	ditentukan	3
waktu_eksekusi	waktu	eksekusi	3
waktu_ekstra	waktu	ekstra	3
waktu_favorit	waktu	favorit	3
waktu_guru	waktu	guru	3
waktu_hadir	waktu	hadir	3
waktu_hal	waktu	hal	3
waktu_harga	waktu	harga	3
waktu_hendak	waktu	hendak	3
waktu_hidupnya	waktu	hidupnya	3
waktu_ibu	waktu	ibu	3
waktu_imbuhnya	waktu	imbuhnya	3
waktu_inilah	waktu	inilah	3
waktu_investasi	waktu	investasi	3
waktu_jatuh	waktu	jatuh	3
waktu_jelang	waktu	jelang	3
waktu_justru	waktu	justru	3
