ngram	w1	w2	w3	n
masa_uji_coba	masa	uji	coba	15
pada_masa_yang	pada	masa	yang	15
sudah_habis_masa	sudah	habis	masa	15
berakhirnya_masa_jabatan	berakhirnya	masa	jabatan	14
dan_di_masa	dan	di	masa	14
di_masa_itu	di	masa	itu	14
generasi_masa_depan	generasi	masa	depan	14
kembali_ke_masa	kembali	ke	masa	14
terjadi_pada_masa	terjadi	pada	masa	14
untuk_masa_jabatan	untuk	masa	jabatan	14
yang_memasuki_masa	yang	memasuki	masa	14
dengan_masa_lalu	dengan	masa	lalu	13
di_masa_pemerintahan	di	masa	pemerintahan	13
di_masa_sekarang	di	masa	sekarang	13
ke_masa_depan	ke	masa	depan	13
ke_masa_lalu	ke	masa	lalu	13
masa_tanggap_darurat	masa	tanggap	darurat	13
yang_pada_masa	yang	pada	masa	13
adalah_masa_depan	adalah	masa	depan	12
akhir_masa_jabatan	akhir	masa	jabatan	12
dengan_masa_depan	dengan	masa	depan	12
dengan_masa_kerja	dengan	masa	kerja	12
di_masa_kepemimpinan	di	masa	kepemimpinan	12
di_masa_lampau	di	masa	lampau	12
masa_depan_di	masa	depan	di	12
masa_depan_katanya	masa	depan	katanya	12
masa_depan_saya	masa	depan	saya	12
masa_kerja_tahun	masa	kerja	tahun	12
masa_orde_baru	masa	orde	baru	12
memasuki_masa_kampanye	memasuki	masa	kampanye	12
memasuki_masa_panen	memasuki	masa	panen	12
membangun_masa_depan	membangun	masa	depan	12
terkait_masa_depan	terkait	masa	depan	12
di_masa-masa_yang	di	masa-masa	yang	11
harus_menjalani_masa	harus	menjalani	masa	11
masa_depan_lebih	masa	depan	lebih	11
masa_depan_para	masa	depan	para	11
masa-masa_yang_akan	masa-masa	yang	akan	11
masih_dalam_masa	masih	dalam	masa	11
melihat_masa_depan	melihat	masa	depan	11
memiliki_basis_masa	memiliki	basis	masa	11
menatap_masa_depan	menatap	masa	depan	11
mengalami_masa-masa_sulit	mengalami	masa-masa	sulit	11
mengenai_masa_depan	mengenai	masa	depan	11
pada_masa_kepemimpinan	pada	masa	kepemimpinan	11
pada_masa_kini	pada	masa	kini	11
akan_mengakhiri_masa	akan	mengakhiri	masa	10
akhir_masa_jabatannya	akhir	masa	jabatannya	10
bangsa_di_masa	bangsa	di	masa	10
dalam_masa_transisi	dalam	masa	transisi	10
di_masa_injury	di	masa	injury	10
generasi_masa_kini	generasi	masa	kini	10
habis_masa_berlakunya	habis	masa	berlakunya	10
kini_dan_masa	kini	dan	masa	10
masa_depan_akan	masa	depan	akan	10
masa_perpanjangan_waktu	masa	perpanjangan	waktu	10
masa_transisi_ini	masa	transisi	ini	10
memiliki_masa_depan	memiliki	masa	depan	10
pada_masa_injury	pada	masa	injury	10
telah_memasuki_masa	telah	memasuki	masa	10
tentang_masa_depan	tentang	masa	depan	10
akan_masa_depan	akan	masa	depan	9
dalam_masa_kampanye	dalam	masa	kampanye	9
dan_masa_kerja	dan	masa	kerja	9
energi_masa_depan	energi	masa	depan	9
hingga_akhir_masa	hingga	akhir	masa	9
ini_di_masa	ini	di	masa	9
masa_depan_bagi	masa	depan	bagi	9
masa_depan_dunia	masa	depan	dunia	9
masa_jabatan_anggota	masa	jabatan	anggota	9
masa_jabatan_bupati	masa	jabatan	bupati	9
masa_jabatan_hakim	masa	jabatan	hakim	9
masa_jabatan_saya	masa	jabatan	saya	9
mengancam_masa_depan	mengancam	masa	depan	9
menuju_masa_depan	menuju	masa	depan	9
mereka_di_masa	mereka	di	masa	9
mobil_masa_depan	mobil	masa	depan	9
pada_masa_lampau	pada	masa	lampau	9
remaja_masa_kini	remaja	masa	kini	9
sebagai_masa_depan	sebagai	masa	depan	9
selama_masa_kehamilan	selama	masa	kehamilan	9
sisa_masa_jabatan	sisa	masa	jabatan	9
tidak_ada_masa-lah	tidak	ada	masa-lah	9
wajah_masa_depan	wajah	masa	depan	9
dengan_masa_percobaan	dengan	masa	percobaan	8
di_akhir_masa	di	akhir	masa	8
di_masa_akan	di	masa	akan	8
di_masa_kampanye	di	masa	kampanye	8
dilakukan_di_masa	dilakukan	di	masa	8
hidup_di_masa	hidup	di	masa	8
masa_akan_datang	masa	akan	datang	8
masa_depan_adalah	masa	depan	adalah	8
masa_depan_itu	masa	depan	itu	8
masa_depan_karena	masa	depan	karena	8
masa_depan_negara	masa	depan	negara	8
masa_depan_ujar	masa	depan	ujar	8
masa_depan_umat	masa	depan	umat	8
masa_lalu_di	masa	lalu	di	8
masa_lalu_itu	masa	lalu	itu	8
memasuki_masa_reses	memasuki	masa	reses	8
memikirkan_masa_depan	memikirkan	masa	depan	8
menghancurkan_masa_depan	menghancurkan	masa	depan	8
menjalani_masa_tahanan	menjalani	masa	tahanan	8
pada_masa_ini	pada	masa	ini	8
pada_saat_masa	pada	saat	masa	8
penentu_masa_depan	penentu	masa	depan	8
sejarah_masa_lalu	sejarah	masa	lalu	8
terbanyak_sepanjang_masa	terbanyak	sepanjang	masa	8
yang_habis_masa	yang	habis	masa	8
belajar_dari_masa	belajar	dari	masa	7
di_masa_awal	di	masa	awal	7
di_masa-masa_mendatang	di	masa-masa	mendatang	7
dibuat_pada_masa	dibuat	pada	masa	7
habis_masa_berlaku	habis	masa	berlaku	7
kesalahan_masa_lalu	kesalahan	masa	lalu	7
masa_depan_cerah	masa	depan	cerah	7
masa_depan_dari	masa	depan	dari	7
masa_depannya_di	masa	depannya	di	7
masa_depannya_yang	masa	depannya	yang	7
masa_jabatan_kedua	masa	jabatan	kedua	7
masa_jabatannya_yang	masa	jabatannya	yang	7
masa_lima_tahun	masa	lima	tahun	7
masa_orientasi_siswa	masa	orientasi	siswa	7
mengakhiri_masa_jabatannya	mengakhiri	masa	jabatannya	7
menyiapkan_masa_depan	menyiapkan	masa	depan	7
merusak_masa_depan	merusak	masa	depan	7
pada_masa_awal	pada	masa	awal	7
pada_masa_perpanjangan	pada	masa	perpanjangan	7
punya_masa_depan	punya	masa	depan	7
saat_memasuki_masa	saat	memasuki	masa	7
sebelum_masa_kampanye	sebelum	masa	kampanye	7
sejak_awal_masa	sejak	awal	masa	7
selama_masa_liburan	selama	masa	liburan	7
seperti_di_masa	seperti	di	masa	7
sudah_lewat_masa	sudah	lewat	masa	7
terbaik_sepanjang_masa	terbaik	sepanjang	masa	7
untuk_masa_mendatang	untuk	masa	mendatang	7
untuk_masa_yang	untuk	masa	yang	7
yang_di_masa	yang	di	masa	7
yang_memiliki_masa	yang	memiliki	masa	7
agar_di_masa	agar	di	masa	6
akan_menjadi_masa	akan	menjadi	masa	6
basis_masa_yang	basis	masa	yang	6
berada_di_masa	berada	di	masa	6
berkembang_di_masa	berkembang	di	masa	6
besar_di_masa	besar	di	masa	6
daerah_yang_masa	daerah	yang	masa	6
dalam_masa_reses	dalam	masa	reses	6
di_masa_tua	di	masa	tua	6
dikurangi_masa_tahanan	dikurangi	masa	tahanan	6
hari_sebelum_masa	hari	sebelum	masa	6
itu_pada_masa	itu	pada	masa	6
karena_pada_masa	karena	pada	masa	6
manusia_di_masa	manusia	di	masa	6
masa_depan_atlet	masa	depan	atlet	6
masa_depan_ekonomi	masa	depan	ekonomi	6
masa_depan_tidak	masa	depan	tidak	6
masa_di_mana	masa	di	mana	6
masa_jabatan_yang	masa	jabatan	yang	6
masa_kampanye_pilkada	masa	kampanye	pilkada	6
masa_kampanye_yang	masa	kampanye	yang	6
masa_kecil_yang	masa	kecil	yang	6
masa_lalu_dengan	masa	lalu	dengan	6
masa_liburan_ini	masa	liburan	ini	6
masa_liburan_sekolah	masa	liburan	sekolah	6
masa_perpanjangan_pendaftaran	masa	perpanjangan	pendaftaran	6
masa_reses_ini	masa	reses	ini	6
masa_sekarang_dan	masa	sekarang	dan	6
masa_sulit_ini	masa	sulit	ini	6
masa_tambahan_waktu	masa	tambahan	waktu	6
menentukan_wajah_masa	menentukan	wajah	masa	6
mengenai_masa_depannya	mengenai	masa	depannya	6
menghadapi_masa_depan	menghadapi	masa	depan	6
menjadi_masa_depan	menjadi	masa	depan	6
menjadi_pemimpin_masa	menjadi	pemimpin	masa	6
menjalani_masa_penahanan	menjalani	masa	penahanan	6
menyelesaikan_masa_jabatannya	menyelesaikan	masa	jabatannya	6
menyongsong_masa_depan	menyongsong	masa	depan	6
pada_masa_liburan	pada	masa	liburan	6
pada_masa_sekarang	pada	masa	sekarang	6
pada_masa_sidang	pada	masa	sidang	6
pe-mimpin_masa_depan	pe-mimpin	masa	depan	6
pengurangan_masa_tahanan	pengurangan	masa	tahanan	6
pernah_mengalami_masa	pernah	mengalami	masa	6
politik_di_masa	politik	di	masa	6
romantisme_masa_lalu	romantisme	masa	lalu	6
sebelum_masa_jabatan	sebelum	masa	jabatan	6
sebelum_masa_jabatannya	sebelum	masa	jabatannya	6
sedang_menjalani_masa	sedang	menjalani	masa	6
selama_masa_jabatannya	selama	masa	jabatannya	6
seperti_pada_masa	seperti	pada	masa	6
sudah_melewati_masa	sudah	melewati	masa	6
telah_melewati_masa	telah	melewati	masa	6
tengah_menjalani_masa	tengah	menjalani	masa	6
tiga_bulan_masa	tiga	bulan	masa	6
untuk_masa_depannya	untuk	masa	depannya	6
yang_masa_jabatan	yang	masa	jabatan	6
ada_masa_depan	ada	masa	depan	5
atas_masa_depan	atas	masa	depan	5
bagian_dari_masa	bagian	dari	masa	5
berakhir_masa_jabatannya	berakhir	masa	jabatannya	5
dalam_masa_pemulihan	dalam	masa	pemulihan	5
dan_masa_depannya	dan	masa	depannya	5
dengan_masa_depannya	dengan	masa	depannya	5
di_lini_masa	di	lini	masa	5
di_masa_dewasa	di	masa	dewasa	5
di_masa_orde	di	masa	orde	5
di_masa_penjajahan	di	masa	penjajahan	5
di_masa_perang	di	masa	perang	5
di_masa_sulit	di	masa	sulit	5
dibangun_pada_masa	dibangun	pada	masa	5
dilakukan_setelah_masa	dilakukan	setelah	masa	5
dipotong_masa_tahanan	dipotong	masa	tahanan	5
dua_tahun_masa	dua	tahun	masa	5
harapan_masa_depan	harapan	masa	depan	5
hari_terakhir_masa	hari	terakhir	masa	5
ini_dan_masa	ini	dan	masa	5
ini_merupakan_masa	ini	merupakan	masa	5
jaminan_masa_depan	jaminan	masa	depan	5
juga_di_masa	juga	di	masa	5
karena_masa_jabatan	karena	masa	jabatan	5
masa_aktif_baterai	masa	aktif	baterai	5
masa_berkabung_selama	masa	berkabung	selama	5
masa_depan_bisa	masa	depan	bisa	5
masa_depan_industri	masa	depan	industri	5
masa_depan_seperti	masa	depan	seperti	5
masa_depannya_bersama	masa	depannya	bersama	5
masa_injuri_time	masa	injuri	time	5
masa_jabatan_berakhir	masa	jabatan	berakhir	5
masa_jabatan_presiden	masa	jabatan	presiden	5
masa_jabatan_tersebut	masa	jabatan	tersebut	5
masa_jabatannya_sebagai	masa	jabatannya	sebagai	5
masa_kampanye_lalu	masa	kampanye	lalu	5
masa_kampanye_pada	masa	kampanye	pada	5
masa_kampanye_pemilihan	masa	kampanye	pemilihan	5
masa_kecil_saya	masa	kecil	saya	5
masa_kerja_dan	masa	kerja	dan	5
masa_kini_di	masa	kini	di	5
masa_lalu_karena	masa	lalu	karena	5
masa_lalu_kata	masa	lalu	kata	5
masa_lalu_menjadi	masa	lalu	menjadi	5
masa_lalu_seperti	masa	lalu	seperti	5
masa_lalu_untuk	masa	lalu	untuk	5
masa_panen_raya	masa	panen	raya	5
masa_pensiun_pada	masa	pensiun	pada	5
masa_reses_untuk	masa	reses	untuk	5
masa_reses_yang	masa	reses	yang	5
masa_tumbuh_kembangnya	masa	tumbuh	kembangnya	5
masyarakat_pada_masa	masyarakat	pada	masa	5
mengubah_masa_depan	mengubah	masa	depan	5
menjelang_akhir_masa	menjelang	akhir	masa	5
merupakan_masa_depan	merupakan	masa	depan	5
muda_di_masa	muda	di	masa	5
muda_masa_kini	muda	masa	kini	5
mulai_memasuki_masa	mulai	memasuki	masa	5
negara_di_masa	negara	di	masa	5
pada_masa_angkutan	pada	masa	angkutan	5
pada_masa_penjajahan	pada	masa	penjajahan	5
pemimpin_di_masa	pemimpin	di	masa	5
pengalaman_masa_lalu	pengalaman	masa	lalu	5
penjara_dengan_masa	penjara	dengan	masa	5
penjara_dikurangi_masa	penjara	dikurangi	masa	5
penting_untuk_masa	penting	untuk	masa	5
perempuan_masa_kini	perempuan	masa	kini	5
sampai_akhir_masa	sampai	akhir	masa	5
satu_tahun_masa	satu	tahun	masa	5
sejarah_di_masa	sejarah	di	masa	5
sekarang_dan_masa	sekarang	dan	masa	5
selama_masa_transisi	selama	masa	transisi	5
skorer_sepanjang_masa	skorer	sepanjang	masa	5
sudah_menjalani_masa	sudah	menjalani	masa	5
telah_habis_masa	telah	habis	masa	5
tentang_masa_depannya	tentang	masa	depannya	5
terbesar_sepanjang_masa	terbesar	sepanjang	masa	5
terjadi_selama_masa	terjadi	selama	masa	5
terkait_dengan_masa	terkait	dengan	masa	5
terkait_masa_depannya	terkait	masa	depannya	5
terutama_pada_masa	terutama	pada	masa	5
untuk_menghadapi_masa	untuk	menghadapi	masa	5
ada_masa_berlaku	ada	masa	berlaku	4
adalah_masa_di	adalah	masa	di	4
akan_berakhir_masa	akan	berakhir	masa	4
akan_menjalani_masa	akan	menjalani	masa	4
arah_masa_depan	arah	masa	depan	4
atau_pengurangan_masa	atau	pengurangan	masa	4
bagaimana_masa_depan	bagaimana	masa	depan	4
bahwa_di_masa	bahwa	di	masa	4
bahwa_masa_jabatan	bahwa	masa	jabatan	4
baik_pada_masa	baik	pada	masa	4
berakhirnya_masa_periode	berakhirnya	masa	periode	4
berasal_dari_masa	berasal	dari	masa	4
berharap_di_masa	berharap	di	masa	4
berpikir_tentang_masa	berpikir	tentang	masa	4
bersikap_masa_bodoh	bersikap	masa	bodoh	4
bertepatan_dengan_masa	bertepatan	dengan	masa	4
bisa_melewati_masa	bisa	melewati	masa	4
bulan_masa_kampanye	bulan	masa	kampanye	4
bulan_sebelum_masa	bulan	sebelum	masa	4
calon_pemimpin_masa	calon	pemimpin	masa	4
dalam_masa_pembangunan	dalam	masa	pembangunan	4
dalam_masa_penyembuhan	dalam	masa	penyembuhan	4
dalam_masa_persiapan	dalam	masa	persiapan	4
dan_demi_masa	dan	demi	masa	4
dan_masa_mendatang	dan	masa	mendatang	4
dan_masa_yang	dan	masa	yang	4
dan_pada_masa	dan	pada	masa	4
dengan_masa_berlaku	dengan	masa	berlaku	4
dengan_masa_studi	dengan	masa	studi	4
desa_yang_masa	desa	yang	masa	4
di_awal_masa	di	awal	masa	4
di_masa_kolonial	di	masa	kolonial	4
di_masa_liburan	di	masa	liburan	4
di_masa_pendudukan	di	masa	pendudukan	4
di_masa_reformasi	di	masa	reformasi	4
di_media_masa	di	media	masa	4
dosa_masa_lalu	dosa	masa	lalu	4
ekonomi_di_masa	ekonomi	di	masa	4
energi_di_masa	energi	di	masa	4
gol_di_masa	gol	di	masa	4
habis_masa_kontraknya	habis	masa	kontraknya	4
hari_pertama_masa	hari	pertama	masa	4
hingga_berakhirnya_masa	hingga	berakhirnya	masa	4
hingga_masa_jabatan	hingga	masa	jabatan	4
itu_di_masa	itu	di	masa	4
juga_masa_depan	juga	masa	depan	4
kehidupan_dan_masa	kehidupan	dan	masa	4
kehidupan_masa_depan	kehidupan	masa	depan	4
kelangsungan_masa_depan	kelangsungan	masa	depan	4
kepentingan_masa_depan	kepentingan	masa	depan	4
kinerja_di_masa	kinerja	di	masa	4
kota_masa_depan	kota	masa	depan	4
lalu_masa_kini	lalu	masa	kini	4
lima_tahun_masa	lima	tahun	masa	4
masa_angkutan_lebaran	masa	angkutan	lebaran	4
masa_bakti_anggota	masa	bakti	anggota	4
masa_depan_gemilang	masa	depan	gemilang	4
masa_depan_ini	masa	depan	ini	4
masa_depan_menjadi	masa	depan	menjadi	4
masa_depan_partai	masa	depan	partai	4
masa_depan_sehingga	masa	depan	sehingga	4
masa_depan_seseorang	masa	depan	seseorang	4
masa_depan_siswa	masa	depan	siswa	4
masa_depan_tambahnya	masa	depan	tambahnya	4
masa_depannya_dengan	masa	depannya	dengan	4
masa_jabatan_kepala	masa	jabatan	kepala	4
masa_jabatan_kumtua	masa	jabatan	kumtua	4
masa_jabatannya_akan	masa	jabatannya	akan	4
masa_kampanye_hingga	masa	kampanye	hingga	4
masa_kampanye_pemilu	masa	kampanye	pemilu	4
masa_kecilnya_di	masa	kecilnya	di	4
masa_kini_telah	masa	kini	telah	4
masa_lalu_masa	masa	lalu	masa	4
masa_lalu_memang	masa	lalu	memang	4
masa_lalu_sampai	masa	lalu	sampai	4
masa_lalu_saya	masa	lalu	saya	4
masa_lalu_tidak	masa	lalu	tidak	4
masa_lampau_dan	masa	lampau	dan	4
masa_mendatang_katanya	masa	mendatang	katanya	4
masa_reses_di	masa	reses	di	4
masa_studi_tahun	masa	studi	tahun	4
masa_tahanan_dan	masa	tahanan	dan	4
masa_yang_sangat	masa	yang	sangat	4
masa-lah_ini_sudah	masa-lah	ini	sudah	4
masih_menjalani_masa	masih	menjalani	masa	4
masuk_masa_pensiun	masuk	masa	pensiun	4
masyarakat_di_masa	masyarakat	di	masa	4
me-masuki_masa_pensiun	me-masuki	masa	pensiun	4
melalui_media_masa	melalui	media	masa	4
melupakan_masa_lalu	melupakan	masa	lalu	4
mema-suki_masa_pensiun	mema-suki	masa	pensiun	4
memasuki_masa_tenang	memasuki	masa	tenang	4
membawa_masa_depan	membawa	masa	depan	4
memiliki_masa_kerja	memiliki	masa	kerja	4
mempersiapkan_masa_depan	mempersiapkan	masa	depan	4
menentukan_masa_depannya	menentukan	masa	depannya	4
mengakhiri_masa_tugasnya	mengakhiri	masa	tugasnya	4
mengalami_masa_sulit	mengalami	masa	sulit	4
mengalami_masa_yang	mengalami	masa	yang	4
mengatakan_di_masa	mengatakan	di	masa	4
mengatakan_masa_depan	mengatakan	masa	depan	4
menjadi_penentu_masa	menjadi	penentu	masa	4
menjalani_masa_karantina	menjalani	masa	karantina	4
menjalani_masa_pemulihan	menjalani	masa	pemulihan	4
menjelang_berakhirnya_masa	menjelang	berakhirnya	masa	4
menyangkut_masa_depan	menyangkut	masa	depan	4
muncul_di_masa	muncul	di	masa	4
nasional_di_masa	nasional	di	masa	4
pada_akhir_masa	pada	akhir	masa	4
pada_masa_jayanya	pada	masa	jayanya	4
pada_masa_reses	pada	masa	reses	4
pada_masa_silam	pada	masa	silam	4
pada_masa_sulit	pada	masa	sulit	4
pada_masa_transisi	pada	masa	transisi	4
pada_masa-masa_awal	pada	masa-masa	awal	4
pembukaan_masa_sidang	pembukaan	masa	sidang	4
pengurangan_masa_hukuman	pengurangan	masa	hukuman	4
perpanjangan_masa_jabatan	perpanjangan	masa	jabatan	4
perusahaan_di_masa	perusahaan	di	masa	4
politik_pada_masa	politik	pada	masa	4
rencana_masa_depan	rencana	masa	depan	4
resmi_melepas_masa	resmi	melepas	masa	4
sebagian_besar_masa	sebagian	besar	masa	4
selama_masa_angkutan	selama	masa	angkutan	4
selama_masa_libur	selama	masa	libur	4
selama_masa_reses	selama	masa	reses	4
sepanjang_masa_dan	sepanjang	masa	dan	4
serta_masa_depan	serta	masa	depan	4
setelah_masa_reses	setelah	masa	reses	4
setelah_melewati_masa	setelah	melewati	masa	4
soal_masa_depan	soal	masa	depan	4
sudah_mendekati_masa	sudah	mendekati	masa	4
tantangan_di_masa	tantangan	di	masa	4
tentang_masa_lalu	tentang	masa	lalu	4
untuk_menjalani_masa	untuk	menjalani	masa	4
yang_masa_baktinya	yang	masa	baktinya	4
yang_masa_jabatannya	yang	masa	jabatannya	4
yang_masa_kerjanya	yang	masa	kerjanya	4
â_masa_yang	â	masa	yang	3
ada_masa-lah_dengan	ada	masa-lah	dengan	3
adalah_masa_yang	adalah	masa	yang	3
akan_me-masuki_masa	akan	me-masuki	masa	3
akan_memperpanjang_masa	akan	memperpanjang	masa	3
akan_menentukan_masa	akan	menentukan	masa	3
atau_di_masa	atau	di	masa	3
atau_masa_bodoh	atau	masa	bodoh	3
awal_masa_kampanye	awal	masa	kampanye	3
bahwa_pada_masa	bahwa	pada	masa	3
baik_untuk_masa	baik	untuk	masa	3
bakal_memasuki_masa	bakal	memasuki	masa	3
bangsa_masa_depan	bangsa	masa	depan	3
bangsa_pada_masa	bangsa	pada	masa	3
belum_memasuki_masa	belum	memasuki	masa	3
berada_dalam_masa	berada	dalam	masa	3
berada_di_masa-masa	berada	di	masa-masa	3
berada_pada_masa	berada	pada	masa	3
berakhir_masa_jabatan	berakhir	masa	jabatan	3
berakhir_masa_tugasnya	berakhir	masa	tugasnya	3
berapa_lama_masa	berapa	lama	masa	3
berbeda_dengan_masa	berbeda	dengan	masa	3
berdamai_dengan_masa	berdamai	dengan	masa	3
berkuasa_pada_masa	berkuasa	pada	masa	3
bersamaan_dengan_masa	bersamaan	dengan	masa	3
bukan_hanya_masa	bukan	hanya	masa	3
bulan_masa_jabatannya	bulan	masa	jabatannya	3
buruk_di_masa	buruk	di	masa	3
daerah_di_masa	daerah	di	masa	3
dalam_masa_kepemimpinannya	dalam	masa	kepemimpinannya	3
dalam_masa_tumbuh	dalam	masa	tumbuh	3
dalam_menjalani_masa	dalam	menjalani	masa	3
dan_pembukaan_masa	dan	pembukaan	masa	3
dari_masa_depan	dari	masa	depan	3
dari_masa_kecil	dari	masa	kecil	3
dari_masa_lalunya	dari	masa	lalunya	3
dengan_masa_bakti	dengan	masa	bakti	3
dengan_masa_sekarang	dengan	masa	sekarang	3
di_mana_masa	di	mana	masa	3
di_masa_depannya	di	masa	depannya	3
di_masa_kanak-kanak	di	masa	kanak-kanak	3
di_masa_kecil	di	masa	kecil	3
di_masa_kecilnya	di	masa	kecilnya	3
di_masa_kepemimpinannya	di	masa	kepemimpinannya	3
di_masa_men-datang	di	masa	men-datang	3
di_masa_menda-tang	di	masa	menda-tang	3
di_masa_mudanya	di	masa	mudanya	3
di_masa_perpanjangan	di	masa	perpanjangan	3
di_masa_silam	di	masa	silam	3
di_sisa_masa	di	sisa	masa	3
dibandingkan_masa_angkutan	dibandingkan	masa	angkutan	3
dilakukan_pada_masa	dilakukan	pada	masa	3
ditemukan_di_masa	ditemukan	di	masa	3
fesyen_masa_kini	fesyen	masa	kini	3
habis_masa_baktinya	habis	masa	baktinya	3
habis_masa_jabatan	habis	masa	jabatan	3
hari_setelah_masa	hari	setelah	masa	3
hidup_pada_masa	hidup	pada	masa	3
hingga_masa_panen	hingga	masa	panen	3
hingga_memasuki_masa	hingga	memasuki	masa	3
indah_di_masa	indah	di	masa	3
industri_masa_depan	industri	masa	depan	3
ingin_di_masa	ingin	di	masa	3
ini_memasuki_masa	ini	memasuki	masa	3
ini_pada_masa	ini	pada	masa	3
investasi_di_masa	investasi	di	masa	3
investasi_untuk_masa	investasi	untuk	masa	3
itu_masa_depan	itu	masa	depan	3
itu_selama_masa	itu	selama	masa	3
jaya_di_masa	jaya	di	masa	3
kaligrafi_pada_masa	kaligrafi	pada	masa	3
karier_masa_depan	karier	masa	depan	3
ke_klub_masa	ke	klub	masa	3
kebutuhan_masa_depan	kebutuhan	masa	depan	3
kehidupan_di_masa	kehidupan	di	masa	3
kehidupan_masa_kini	kehidupan	masa	kini	3
kejayaan_di_masa	kejayaan	di	masa	3
kejayaan_masa_lalu	kejayaan	masa	lalu	3
kembali_untuk_masa	kembali	untuk	masa	3
kenangan_masa_kecil	kenangan	masa	kecil	3
kesuksesan_di_masa	kesuksesan	di	masa	3
keuangan_di_masa	keuangan	di	masa	3
klub_masa_kecilnya	klub	masa	kecilnya	3
lagi_pada_masa	lagi	pada	masa	3
lain_di_masa	lain	di	masa	3
lain_pada_masa	lain	pada	masa	3
lama_masa_jabatan	lama	masa	jabatan	3
laut_sebagai_masa	laut	sebagai	masa	3
lewat_masa_berlaku	lewat	masa	berlaku	3
lewat_masa_berlakunya	lewat	masa	berlakunya	3
maka_masa_depan	maka	masa	depan	3
manusia_pada_masa	manusia	pada	masa	3
masa_arus_mudik	masa	arus	mudik	3
masa_bakti_pengurus	masa	bakti	pengurus	3
masa_berlaku_itu	masa	berlaku	itu	3
masa_berlaku_surat	masa	berlaku	surat	3
masa_datang_katanya	masa	datang	katanya	3
masa_depan_atau	masa	depan	atau	3
masa_depan_bersama	masa	depan	bersama	3
masa_depan_dalam	masa	depan	dalam	3
masa_depan_film	masa	depan	film	3
masa_depan_juga	masa	depan	juga	3
masa_depan_kami	masa	depan	kami	3
masa_depan_ke	masa	depan	ke	3
masa_depan_keluarga	masa	depan	keluarga	3
masa_depan_kota	masa	depan	kota	3
masa_depan_lewat	masa	depan	lewat	3
masa_depan_masyarakat	masa	depan	masyarakat	3
masa_depan_negeri	masa	depan	negeri	3
masa_depan_pemain	masa	depan	pemain	3
masa_depan_pemerintah	masa	depan	pemerintah	3
masa_depan_pungkasnya	masa	depan	pungkasnya	3
masa_depan_sangat	masa	depan	sangat	3
masa_depan_suatu	masa	depan	suatu	3
masa_depan_tanah	masa	depan	tanah	3
masa_depan_tanpa	masa	depan	tanpa	3
masa_depan_tegas	masa	depan	tegas	3
masa_depan_teknologi	masa	depan	teknologi	3
masa_depan_tersebut	masa	depan	tersebut	3
masa_depannya_tak	masa	depannya	tak	3
masa_hukuman_yang	masa	hukuman	yang	3
masa_itu_ia	masa	itu	ia	3
masa_itu_para	masa	itu	para	3
masa_jabatan_sampai	masa	jabatan	sampai	3
masa_jabatan_tahun	masa	jabatan	tahun	3
masa_jabatannya_dan	masa	jabatannya	dan	3
